index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
25,14,0,0,0,10.000000000000002,20,10.0,24.1418651661133,26,18.384615384615383,51.16847217601393,4,47.0,15.353564904993268,8,23.0,60.0,10,60.0,1,1.1010000000000002,35087,5,10,1.0,291.41865166113297,False,0.17878514924656458,0,1.9100000000000004,24264,255,0,0.0,2550.0000000000005,False,-0.14553849242196126,0,0.2,39614,114,0,0.0,2752.172628936916,False,-0.05932102548552024,0,0.5510000000000002,41847,214,70,1.0,8748.15219786922,False,0.06072463795604381,8,1.0180000000000002,54836,61,0,0.0,3121.2768027368497,False,-0.06518194564192309,0,1.0910000000000002,48445,120,0,0.0,6140.216661121672,False,-0.14609709541744711,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,78285,0,76,0.8,4560.0,False,0.07480188905787241,0.35,397769,0.0,0.0,11,0,0,11,2,1.2,7,18,15,132.0,41.0,9,5,15,1411,0.7596609462052584,28.895989768207073
26,15,0,0,0,10.000000000000002,20,10.0,24.193967678968004,12,25.0,50.97381606095659,8,48.75,14.843695433191956,19,12.999999999999998,60.00000000000001,11,60.0,2,1.12,35241,4,10,1.0,281.93967678968005,False,0.18377897682742286,0,1.9100000000000004,24154,266,0,0.0,2660.0000000000005,False,-0.14737863428016995,0,0.2,39369,121,0,0.0,2927.4700891551283,False,-0.06293207011870186,0,0.5510000000000002,42182,209,72,1.0,8726.654001293187,False,0.06816585199418451,9,1.1,54255,68,0,0.0,3466.2194921450478,False,-0.07195362518734735,10,1.1910000000000003,47859,121,0,0.0,6167.831743375747,False,-0.15558162953657653,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,78698,9,75,1.0,4633.593258898729,False,0.08080253781383398,0.375,397149,0.0,0.0,11,0,0,9,4,3.4,11,20,17,155.0,45.0,10,5,17,1495,0.7911629546433687,29.687152722850442
27,17,0,0,0,10.000000000000002,20,10.0,23.4972853849183,28,19.071428571428573,51.299147196690996,3,61.0,14.785769551207409,16,14.5,60.00000000000001,7,60.0,13,1.2480000000000002,35211,3,10,1.0,264.972853849183,False,0.182491432531185,5,1.9600000000000002,23969,277,0,0.0,2770.0000000000005,False,-0.15172806049048146,0,0.2,39369,121,0,0.0,2843.1715315751144,False,-0.06389935133017646,0,0.5510000000000002,41831,227,79,1.0,9386.516410915043,False,0.06768234550677034,8,1.171,54031,68,0,0.0,3488.342009374988,False,-0.07548325010049074,8,1.2610000000000003,47316,124,0,0.0,6361.094252389684,False,-0.1629805379470099,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,78886,15,78,1.0,4901.786543268112,False,0.08509956604543945,0.375,396004,0.0,0.0,8,0,0,6,5,4.444444444444445,12,18,14,139.0,97.0,8,9,14,803,0.7802972663193941,30.467449989169836
28,14,0,0,0,10.000000000000002,20,10.0,23.70531565453717,29,25.03448275862069,51.299147196690996,0,,13.823308854742889,10,5.6,60.00000000000001,10,60.0,8,1.3150000000000004,35491,2,10,1.0,257.05315654537173,False,0.19172694229558318,11,2.0650000000000004,23643,288,0,0.0,2880.0000000000005,False,-0.16079494128274616,0,0.2,38775,139,0,0.0,3295.0388759806665,False,-0.07234608289178811,0,0.5510000000000002,41699,228,89,1.0,9970.436069739973,False,0.07135325381227732,0,1.163,54031,68,0,0.0,3488.342009374988,False,-0.07548325010049074,10,1.3530000000000002,46828,124,0,0.0,6361.094252389684,False,-0.17106951671344062,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,79430,15,78,1.0,4887.349632821144,False,0.09226066352371416,0.375,395288,0.0,0.0,8,0,0,4,6,5.444444444444445,14,18,13,114.0,46.0,7,7,13,800,0.7020110692828894,31.169461058452725
29,13,0,0,0,10.000000000000002,20,10.0,23.434788996975385,5,13.0,51.18725198289175,7,49.857142857142854,13.75629448278333,1,8.0,60.00000000000001,11,60.0,0,1.3070000000000002,35446,3,15,1.0,381.5218349546308,False,0.19230355373138336,0,2.0540000000000003,23553,297,0,0.0,2970.0000000000005,False,-0.16230051189400782,0,0.2,38775,139,0,0.0,3257.4356705795785,False,-0.07277755971796236,0,0.5510000000000002,41983,223,92,1.0,9935.185128751553,False,0.07746626653759679,0,1.1630000000000003,53890,71,0,0.0,3634.2948907853142,False,-0.07661079339301734,1,1.3530000000000002,46577,128,0,0.0,6551.968253810144,False,-0.17364809416855784,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80082,6,77,1.0,4702.537766896701,False,0.09972609839441228,0.375,395697,0.0,0.0,11,0,0,4,1,1.0,13,17,10,123.0,51.0,8,5,10,1274,0.7208227775990963,31.89028383605182
30,10,0,0,0,10.000000000000002,20,10.0,23.868235913142257,9,32.44444444444444,51.686896812476895,5,59.8,14.1373635506525,16,16.0,60.0,6,60.0,0,1.3070000000000002,35656,0,17,1.0,405.7600105234184,False,0.19973501974845956,1,2.0640000000000005,23407,310,0,0.0,3100.0000000000005,False,-0.16501053899427884,0,0.2,38635,143,0,0.0,3413.157735579343,False,-0.07420358306851013,0,0.5510000000000002,42130,218,97,1.0,10216.90441987527,False,0.08407233987234959,8,1.243,53666,71,0,0.0,3669.7696736858597,False,-0.08002975622266353,8,1.4320000000000002,45942,133,0,0.0,6874.357276059427,False,-0.18150178789587573,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80186,12,81,1.0,5029.64836260783,False,0.10329550123140853,0.375,395013,0.0,0.0,12,0,0,5,3,3.0,12,17,7,110.0,24.0,7,3,7,1139,0.6241026511415839,32.514386487193406
31,7,0,0,0,10.000000000000002,20,10.0,23.798161887649048,1,12.0,52.31140474661769,5,62.0,14.894143524243708,11,20.727272727272727,60.00000000000001,4,60.0,0,1.3070000000000002,35578,0,25,0.9,594.9540471912262,False,0.20029030826041744,0,2.0630000000000006,23297,321,0,0.0,3210.0000000000005,False,-0.16685068085248753,0,0.2,38635,143,0,0.0,3403.137149933814,False,-0.07431856397092584,0,0.5510000000000002,42428,209,102,1.0,10309.579118673655,False,0.0919745165653891,10,1.3350000000000002,53321,71,0,0.0,3714.109737009856,False,-0.08538091351580618,1,1.4340000000000002,45589,138,0,0.0,7218.973855033241,False,-0.18449689324343815,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,80198,13,87,1.0,5413.623865815169,False,0.1060168618814214,0.3625,394437,0.0,0.0,7,0,0,5,3,3.0,10,15,9,80.0,15.0,5,2,9,762,0.5785754965618253,33.09296198375523
32,9,0,0,0,10.000000000000002,20,10.0,24.42623628670615,10,34.0,52.15308205671506,5,49.8,13.831031134567276,8,2.375,60.00000000000001,7,60.0,0,1.3070000000000002,35838,0,23,0.8,561.8034345942415,False,0.20843459859135874,0,2.063,23177,333,0,0.0,3330.0000000000005,False,-0.16885810833416975,0,0.2,38295,153,0,0.0,3737.214151866041,False,-0.078287846794423,0,0.5510000000000002,42677,199,107,1.0,10441.200801123035,False,0.09919909123491721,0,1.3250000000000002,53133,75,0,0.0,3911.4811542536295,False,-0.08686136721764298,8,1.5130000000000003,45104,139,0,0.0,7249.278405883393,False,-0.1922849839556151,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80599,11,90,1.0,5552.141342480241,False,0.1122904916251783,0.35,394214,0.0,0.0,10,0,0,2,2,2.0,13,15,12,74.0,18.0,5,4,12,1209,0.6483747875317931,33.741336771287024
33,12,0,0,0,10.000000000000002,20,10.0,24.42623628670615,0,,51.97286304304483,5,49.4,13.574342204514538,17,12.294117647058824,60.0,7,60.0,0,1.3070000000000002,35738,0,33,1.0,806.065797461303,False,0.2091750442882214,0,2.0630000000000006,23077,343,0,0.0,3430.0000000000005,False,-0.17053096456890496,0,0.2,38295,153,0,0.0,3737.214151866041,False,-0.078287846794423,0,0.5510000000000002,42924,189,112,1.0,10437.519319008483,False,0.10482523601845649,8,1.4050000000000002,52721,79,0,0.0,4105.856180400542,False,-0.09207962853353657,9,1.5950000000000002,44581,140,0,0.0,7276.200826026276,False,-0.20073098488267432,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80810,18,93,1.0,5824.3381596812615,False,0.11692106352678346,0.375,393537,0.0,0.0,10,0,0,7,3,3.0,13,20,12,153.0,21.0,10,2,12,867,0.7570588672533631,34.49839563854039
34,12,0,0,0,10.000000000000002,20,10.0,25.10322853521571,10,35.0,51.97286304304483,0,,13.026512824948547,7,5.857142857142857,60.0,0,,0,1.3070000000000002,35968,2,33,1.0,848.4065416621185,False,0.2175784827471999,0,2.0630000000000006,22997,351,0,0.0,3510.0000000000005,False,-0.1718692495566931,0,0.2,38295,153,0,0.0,3840.7939658880036,False,-0.07709932339772799,0,0.5510000000000002,42574,189,122,1.0,11085.19948440724,False,0.1042248936822402,0,1.3970000000000002,52721,79,0,0.0,4105.856180400542,False,-0.09207962853353657,7,1.6560000000000001,44237,140,0,0.0,7276.200826026276,False,-0.20643305188196157,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80769,15,103,1.0,6375.397692374228,False,0.12004987921485509,0.375,392952,0.0,0.0,6,0,0,6,2,2.0,12,18,18,100.0,50.0,7,5,18,550,0.751875376328826,35.25027101486921
35,18,0,0,0,10.0,20,10.0,25.154062299367364,38,25.342105263157894,51.571721672110854,15,49.733333333333334,13.40823189850342,15,15.666666666666666,60.00000000000001,6,60.0,0,1.3070000000000002,36756,3,10,1.0,281.54062299367365,False,0.23445984514359258,5,2.1130000000000004,22832,360,0,0.0,3600.0,False,-0.17588410452005754,0,0.2,38125,158,0,0.0,3974.3418433000434,False,-0.07946825194147966,0,0.5510000000000002,42527,212,117,1.0,11366.552643102852,False,0.10637467175103678,10,1.497,51762,92,0,0.0,4744.598393834199,False,-0.10268197389452671,5,1.6990000000000003,43865,142,0,0.0,7323.184477439741,False,-0.21220984536922752,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,80894,20,107,1.0,6688.16463797007,False,0.123803761025975,0.375,392152,0.0,0.0,12,0,0,11,4,4.0,11,22,19,201.0,61.0,12,6,19,2204,0.9070787271484733,36.157349742017686
36,19,0,0,0,10.0,20,10.0,25.019817560675044,29,24.275862068965516,51.08115148211601,12,48.0,14.551293870764876,15,21.666666666666668,60.00000000000001,0,,18,1.487,36779,2,10,1.0,270.19817560675045,False,0.23503961617328706,1,2.1180000000000003,22706,371,0,0.0,3710.0,False,-0.1782595603733815,0,0.2,37810,167,0,0.0,4178.309532632732,False,-0.08435674661350853,0,0.5510000000000002,42714,222,115,1.0,11428.731918913201,False,0.11137959746314625,15,1.6370000000000005,50581,104,0,0.0,5312.439754140065,False,-0.11755175989872144,0,1.6940000000000004,43865,142,0,0.0,7253.5235104604735,False,-0.2127871876671213,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80569,25,117,1.0,7383.782346769123,False,0.12410804948617306,0.375,390415,0.0,0.0,7,0,0,8,6,5.928571428571429,15,23,16,191.0,59.0,12,7,16,1091,0.874300878494978,37.031650620512664
37,16,0,0,0,10.0,20,10.0,24.60611007571329,6,12.833333333333334,51.7843485947891,6,61.0,14.545698982603932,1,14.0,60.00000000000001,0,,0,1.4690000000000003,36649,5,20,1.0,542.1222015142657,False,0.2352390879841124,6,2.1770000000000005,22540,378,0,0.0,3780.0,False,-0.1826424437083877,0,0.2,37810,167,0,0.0,4109.220382644119,False,-0.08514950794441623,0,0.5510000000000002,43003,218,119,1.0,11526.4694792854,False,0.11913332735840962,0,1.6220000000000003,50581,104,0,0.0,5385.572253858067,False,-0.11694564592602182,1,1.7040000000000004,43462,148,0,0.0,7664.083592028787,False,-0.21606454945358955,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80555,16,127,1.0,7852.731183721664,False,0.1270493555305748,0.375,389991,0.0,0.0,6,0,0,8,3,3.0,12,20,15,139.0,56.0,9,7,15,566,0.7716604182496667,37.80331103876233
38,15,0,0,0,10.0,20,10.0,25.143151598115757,11,32.90909090909091,51.7843485947891,0,,13.389789217784477,9,2.0,60.00000000000001,0,,0,1.4690000000000003,36939,1,20,1.0,512.8630319623152,False,0.2444521903034949,1,2.1810000000000005,22384,392,0,0.0,3920.0,False,-0.18551975643213223,0,0.2,37460,177,0,0.0,4450.337832866489,False,-0.08926749474622508,0,0.5510000000000002,42991,209,129,1.0,11935.099652733987,False,0.12354675447772792,0,1.6220000000000003,50581,104,0,0.0,5385.572253858067,False,-0.11694564592602182,9,1.7930000000000006,43021,148,0,0.0,7664.083592028787,False,-0.2233744667404665,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80537,15,137,1.0,8420.846838266769,False,0.1305987809057523,0.375,389304,0.0,0.0,7,0,0,9,2,2.0,13,22,15,155.0,35.0,10,5,15,550,0.7540037985891104,38.55731483735144
39,15,0,0,0,10.0,20,10.0,25.143151598115757,0,,51.85236906553757,8,52.5,13.477412617206436,9,14.333333333333334,60.00000000000001,0,,0,1.4690000000000003,36799,5,30,1.0,804.2945479434727,False,0.24464342313131038,0,2.1800000000000006,22324,398,0,0.0,3980.0,False,-0.18652347017297333,0,0.2,37460,177,0,0.0,4450.337832866489,False,-0.08926749474622508,0,0.5510000000000002,43411,199,131,1.0,11796.147515610457,False,0.13159090666219686,5,1.6720000000000002,50243,108,0,0.0,5600.055859078058,False,-0.12077064215320943,4,1.8240000000000005,42609,152,0,0.0,7881.560097961711,False,-0.22840126557740295,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,80408,14,147,1.0,9008.683776640892,False,0.13279892590944853,0.375,388645,0.0,0.0,8,0,0,9,2,2.0,10,19,13,155.0,33.0,9,6,13,620,0.7663130378350616,39.3236278751865
40,13,0,0,0,9.999999999999998,20,10.0,25.05783962907458,1,12.0,51.85236906553757,0,,13.864488820012411,13,16.46153846153846,60.00000000000001,0,,0,1.4690000000000003,36701,6,39,1.0,1037.2557455339086,False,0.24526173082963484,0,2.1800000000000006,22234,407,0,0.0,4069.999999999999,False,-0.188029040784235,0,0.2,37460,177,0,0.0,4435.237614346201,False,-0.08944076174014684,0,0.5510000000000002,43399,190,141,1.0,12072.173567764967,False,0.1344827718619044,8,1.747,50019,108,0,0.0,5600.055859078058,False,-0.12448361601321042,5,1.8700000000000003,42384,152,0,0.0,7881.560097961711,False,-0.23213081521356466,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80194,17,157,1.0,9655.696309940213,False,0.13425982756970717,0.375,387782,0.0,0.0,5,0,0,8,2,2.0,8,16,15,86.0,36.0,6,7,15,212,0.8091702526435256,40.13279812783003
41,15,0,0,0,9.999999999999998,20,10.0,26.189880763269777,16,36.0,51.55884085915834,4,46.0,14.81467236207578,20,19.1,60.00000000000001,0,,0,1.4690000000000003,37207,3,33,1.0,894.2660651879027,False,0.2597990241424587,0,2.1800000000000006,22104,420,0,0.0,4199.999999999999,False,-0.19020375388939076,0,0.2,36884,193,0,0.0,5054.646987311067,False,-0.09555195654261547,0,0.5510000000000002,43583,180,147,1.0,12293.328143684836,False,0.14124300795966532,16,1.8990000000000007,49251,112,0,0.0,5774.590176225734,False,-0.13576729121794057,4,1.9050000000000002,42183,152,0,0.0,7836.943810592067,False,-0.23583232101814988,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,79812,27,167,1.0,10419.996153776048,False,0.13426182764865685,0.375,386415,0.0,0.0,7,0,0,9,5,5.0,9,18,21,102.0,56.0,8,7,21,960,1.2552887331694365,41.388086860999465
42,21,0,0,0,9.999999999999998,20,10.0,28.22477441103781,39,35.48717948717949,51.66108710408299,1,59.0,14.81467236207578,0,,60.00000000000001,11,60.0,6,1.5290000000000004,38343,1,10,1.0,292.2477441103781,False,0.2877354167772489,0,2.1800000000000006,21984,432,0,0.0,4319.999999999999,False,-0.19221118137107296,0,0.2,35850,222,0,0.0,6265.899919250393,False,-0.10538267447790708,0,0.5510000000000002,43292,180,156,1.0,13139.588982223751,False,0.1442752608402037,0,1.8830000000000005,49251,112,0,0.0,5786.041755657295,False,-0.13567238180926838,0,1.9010000000000002,42124,153,0,0.0,7904.146326924697,False,-0.2362533248775489,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80472,17,166,1.0,10211.849430155291,False,0.1416783360692341,0.375,386707,0.0,0.0,11,0,0,13,1,0.3157894736842105,11,24,18,205.0,69.0,13,8,18,1619,0.9268836816772819,42.31497054267675
43,18,0,0,0,9.999999999999998,20,10.0,27.55225611311774,45,25.155555555555555,52.25800835877588,19,54.31578947368421,14.10170656454393,7,4.0,60.00000000000001,8,60.0,29,1.8130000000000004,38446,0,6,0.6,165.31353667870644,False,0.2890580738177708,6,2.2400000000000007,21728,447,0,0.0,4469.999999999999,False,-0.19826692094081436,0,0.2,35605,229,0,0.0,6309.466649903962,False,-0.11050525932410832,0,0.5510000000000002,43437,208,147,1.0,13412.796500268545,False,0.15073776821880136,0,1.8830000000000005,48975,118,0,0.0,6166.444986335554,False,-0.1370945566283582,7,1.9710000000000003,41039,166,0,0.0,8674.829387556796,False,-0.2478507070599812,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,80924,14,168,1.0,10277.423891903616,False,0.14814578758707295,0.325,385545,0.0,0.0,12,0,0,8,5,4.571428571428571,13,21,13,163.0,60.0,10,8,13,1957,0.8136516474187374,43.128622190095484
44,13,0,0,0,9.999999999999998,20,10.0,27.898068247450503,9,35.0,52.25800835877588,0,,12.384705999574265,34,7.5588235294117645,60.00000000000001,0,,3,1.8140000000000003,38597,0,8,0.8,223.18454597960402,False,0.29507819843386535,0,2.2340000000000004,21608,459,0,0.0,4589.999999999999,False,-0.20027434842249658,0,0.2,35290,238,0,0.0,6639.74024289322,False,-0.1139444607814891,0,0.5510000000000002,43437,198,157,1.0,13728.324825323014,False,0.1543582882997477,9,1.9730000000000003,48723,118,0,0.0,6166.444986335554,False,-0.14127165222085933,25,2.2140000000000004,39383,166,0,0.0,8674.829387556796,False,-0.2753001923821314,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,80667,38,178,1.0,11150.618827983824,False,0.15054176224007995,0.35,383096,0.0,0.0,5,0,0,4,5,4.333333333333333,13,17,12,89.0,53.0,6,7,12,200,0.64513551723212,43.773757707327604
45,12,0,0,0,10.0,20,10.0,27.898068247450503,0,,52.54499453560684,15,54.0,12.00712196306207,4,1.0,60.00000000000001,9,60.0,0,1.8110000000000002,38487,1,18,1.0,512.1652284541091,False,0.29623214608140297,0,2.2340000000000004,21518,468,0,0.0,4680.0,False,-0.20177991903375825,0,0.2,35290,238,0,0.0,6639.74024289322,False,-0.1139444607814891,0,0.5510000000000002,44247,188,152,1.0,13231.675999932933,False,0.1672481468724376,0,1.9640000000000006,48347,126,0,0.0,6620.669311486462,False,-0.1437395836870621,4,2.2290000000000005,38749,173,0,0.0,9090.284054659984,False,-0.2823659926846129,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,81203,32,179,1.0,11124.227902817987,False,0.15751639520009855,0.375,383232,0.0,0.0,11,0,0,7,1,1.0,8,15,12,96.0,57.0,6,6,12,1550,0.6821808852255344,44.45593859255314
46,12,0,0,0,10.0,20,10.0,27.807454847578786,1,12.0,52.286920725721316,4,47.0,12.00712196306207,0,,60.00000000000001,9,60.0,0,1.8110000000000004,38377,2,28,1.0,798.608735732206,False,0.29734365043548144,1,2.244,21412,477,0,0.0,4770.0,False,-0.20382080364013516,0,0.2,35290,238,0,0.0,6618.174253723751,False,-0.1141919190622634,0,0.5510000000000002,44423,179,158,1.0,13238.867892380571,False,0.17136968321721827,0,1.9640000000000004,48159,130,0,0.0,6797.299694343771,False,-0.14539193676056478,0,2.225000000000001,38749,173,0,0.0,9045.637285549788,False,-0.28273602011014776,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,81743,22,180,1.0,11064.156683187368,False,0.1643197302702005,0.375,383544,0.0,0.0,8,0,0,6,1,1.0,14,20,12,120.0,27.0,8,4,12,928,0.6205076295882463,45.076446222141385
47,12,0,0,0,10.0,20,10.0,27.84642508497818,1,34.0,52.41089128271967,1,62.0,12.265782735068797,11,14.818181818181818,60.000000000000014,11,60.0,0,1.8110000000000002,38301,3,37,1.0,1060.3177281441926,False,0.2991789241551104,0,2.2430000000000008,21322,486,0,0.0,4860.0,False,-0.20532637425139683,0,0.2,35290,238,0,0.0,6627.449170224807,False,-0.11408549431755817,0,0.5510000000000002,44451,170,167,1.0,13486.511108660474,False,0.17485382798233476,5,2.0140000000000007,48019,130,0,0.0,6813.415866753557,False,-0.1475789763898494,6,2.2850000000000006,38429,174,0,0.0,9119.495083193222,False,-0.28742814332084715,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,82240,23,179,1.0,11022.113002906584,False,0.17066966169659398,0.375,383443,0.0,0.0,10,0,0,6,2,2.0,11,17,10,118.0,29.0,7,5,10,956,0.6918943803757429,45.76834060251713
48,10,0,0,0,10.0,20,10.0,27.84642508497818,0,,52.06675117972257,4,46.0,12.078435029804261,2,2.0,60.00000000000001,3,60.0,0,1.8110000000000004,38181,5,47,1.0,1358.7819789939745,False,0.30015694702054213,0,2.2430000000000008,21242,494,0,0.0,4940.0,False,-0.20666465923918498,0,0.2,35290,238,0,0.0,6627.449170224807,False,-0.11408549431755817,0,0.5510000000000002,44635,160,173,1.0,13462.975967688515,False,0.17880637943417688,0,2.0090000000000003,47835,134,0,0.0,6976.944658082824,False,-0.1492736108829682,2,2.299000000000001,38331,174,0,0.0,9059.614705271728,False,-0.28954885125502056,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,82416,15,186,1.0,11341.176525447067,False,0.17514592522110417,0.375,383321,0.0,0.0,7,0,0,9,1,1.0,9,18,12,121.0,21.0,8,2,12,564,0.7245138119906187,46.49285441450775
49,12,0,0,0,10.0,20,10.0,27.06281112488495,17,20.470588235294116,50.9941815194758,12,45.0,12.209296088758556,10,13.5,60.00000000000001,10,60.0,0,1.8110000000000002,38439,4,40,1.0,1122.512444995398,False,0.3048364355615009,0,2.2430000000000008,21132,505,0,0.0,5050.0,False,-0.2085048010973937,0,0.2,35052,245,0,0.0,6630.388725596812,False,-0.1195136118692276,0,0.5510000000000002,45065,160,171,1.0,13050.054819811954,False,0.18393637200013713,5,2.0590000000000006,47155,146,0,0.0,7445.150501843467,False,-0.1566647010405985,5,2.3470000000000004,38096,174,0,0.0,8872.98758438879,False,-0.294990903343427,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,82881,15,186,1.0,11343.139441331381,False,0.18136249260473453,0.375,383211,0.0,0.0,12,0,0,8,2,2.0,10,18,17,136.0,37.0,8,4,17,1688,0.7300515985116363,47.22290601301938
50,17,0,0,0,10.0,20,10.0,26.290438101592308,49,24.020408163265305,51.77226850596113,6,61.0,12.160547979415027,11,11.727272727272727,60.00000000000001,0,,0,1.8110000000000004,38709,1,40,1.0,1061.6175240636924,False,0.3128511747476278,39,2.633000000000001,20552,518,0,0.0,5180.0,False,-0.2257352203151661,0,0.2,34712,255,0,0.0,6704.061715906038,False,-0.12647089253119867,0,0.5510000000000002,44594,189,175,1.0,14029.039789744143,False,0.1843607549023998,5,2.1040000000000005,47015,146,0,0.0,7558.751201870325,False,-0.15804379981542602,6,2.4020000000000006,37428,180,0,0.0,9319.008331073002,False,-0.30236695178875006,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.4790000000000001,82752,16,196,1.0,11954.568767670642,False,0.18372000832246477,0.375,381153,0.0,0.0,7,0,0,8,5,5.0,15,23,17,205.0,45.0,12,5,17,906,0.8954245867207646,48.11833059974015
51,17,0,0,0,10.000000000000002,20,10.0,26.07065201496177,45,25.22222222222222,52.20677741586326,4,59.75,12.590099590447156,5,21.0,60.0,9,60.0,0,1.8110000000000002,39232,0,26,0.7,677.836952389006,False,0.3239291537419954,24,2.8340000000000005,20292,532,0,0.0,5320.000000000001,False,-0.23209207400715984,0,0.2,34184,271,0,0.0,7065.1466960546395,False,-0.13444467359661919,0,0.5510000000000002,44226,208,181,1.0,14872.122331383298,False,0.18558947023962483,5,2.149000000000001,46865,146,0,0.0,7622.189502716035,False,-0.16000439670211644,0,2.3960000000000004,37189,184,0,0.0,9606.04704451884,False,-0.3039496175593923,0,0.2,75391,0,0,0.0,0.0,False,0.005776568211531791,0,0.47900000000000004,83187,11,197,1.0,11958.49109549492,False,0.1895494216460879,0.3375,380566,0.0,0.0,13,0,0,7,2,2.0,9,16,12,165.0,60.0,10,7,12,1562,0.7890154076740146,48.90734600741416
