index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
25,34,0,0,0,10.000000000000002,20,10.0,22.83138813153703,36,28.5,24.275711924611375,17,22.176470588235293,11.74304148738567,8,41.125,51.99999999999999,11,52.0,8,1.9090000000000003,50982,24,10,1.0,468.31388131537034,False,0.04224983599221982,8,0.784,52971,3,10,1.0,258.3138813153703,False,0.08058927433165816,6,4.823000000000001,63819,381,0,0.0,8698.758878115608,False,-0.20121420858849529,11,5.287000000000002,62257,345,0,0.0,7876.828905380275,False,-0.22433308586020465,0,0.2,114524,0,62,0.7,728.0685722179115,False,0.026922970843692655,3,5.621000000000001,48152,930,0,0.0,22576.412089888578,False,-0.46869564477685755,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,11,2.2000000000000006,131578,683,0,0.0,8020.497335884413,False,-0.05072847733773321,0.3375,667113,0.0,0.0,8,0,0,12,10,9.777777777777779,18,30,33,274.0,136.0,19,15,33,1003,2.4646795900189318,188.64021781092742
26,33,0,0,0,10.000000000000002,20,10.0,22.91830579694542,32,23.6875,24.352350772559543,10,26.8,12.023119634515181,20,15.25,52.0,11,52.0,8,1.9810000000000003,51192,25,10,1.0,479.18305796945424,False,0.04663393424877341,4,0.8160000000000001,53043,2,10,1.0,249.18305796945418,False,0.08196156957640874,9,4.907000000000001,63281,396,0,0.0,9075.649095590386,False,-0.20531023496841808,1,5.286000000000001,61904,362,0,0.0,8296.42669849424,False,-0.22601109269689337,0,0.2,114782,0,59,0.2,709.3640584363957,False,0.029145500636581525,15,5.768000000000002,47148,938,0,0.0,22842.50502466085,False,-0.4764806346997531,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,11,2.299000000000001,131059,703,0,0.0,8452.253103064173,False,-0.052850675948779006,0.275,665239,0.0,0.0,8,0,0,12,11,10.555555555555555,17,29,31,321.0,162.0,19,14,31,822,2.913918924983591,191.55413673591102
27,31,0,0,0,10.000000000000002,20,10.0,21.645651282363986,31,10.0,24.238135534014514,12,21.416666666666668,10.805020514712917,28,1.0,52.0,11,52.0,2,1.9930000000000003,51196,22,10,1.0,436.45651282363986,False,0.046280591298571865,9,0.9020000000000001,52882,5,10,1.0,266.45651282363986,False,0.07886097387895444,6,4.958000000000001,62907,427,0,0.0,9242.693097569421,False,-0.20871400809954635,6,5.3450000000000015,61765,362,0,0.0,7835.725764215763,False,-0.23033908035964526,0,0.2,114675,0,66,0.7,713.1313539710525,False,0.028205921529063666,28,6.033000000000002,45274,943,0,0.0,22856.561808575687,False,-0.49316849990804246,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,11,2.3980000000000006,130858,731,0,0.0,7898.469996255142,False,-0.05619645883943906,0.3375,662387,0.0,0.0,5,0,0,15,12,10.333333333333332,15,30,32,288.0,138.0,20,11,32,200,3.2255084890057333,194.77964522491675
28,32,0,0,0,10.000000000000002,20,10.0,22.139733002692207,22,28.5,24.208565064578796,1,16.0,8.731237599606908,71,2.0704225352112675,52.0,11,52.0,1,2.001000000000001,51341,26,10,1.0,481.39733002692213,False,0.04968861752164151,1,0.903,53118,1,10,1.0,231.39733002692208,False,0.08330685113987513,1,4.962000000000001,62567,438,0,0.0,9697.203055179187,False,-0.21003513560359044,0,5.339000000000002,61457,373,0,0.0,8258.120410004192,False,-0.23147339811340406,0,0.2,114659,0,67,0.1,584.9929191736628,False,0.02749022542445955,71,6.715000000000002,38179,943,0,0.0,22828.676855897804,False,-0.5567115518256918,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,11,2.4970000000000003,130498,802,0,0.0,7002.4525548847405,False,-0.06185343631458646,0.2625,654649,0.0,0.0,6,0,0,16,13,11.181818181818182,17,33,31,324.0,117.0,23,9,31,200,2.909793619008269,197.68943884392502
29,31,0,0,0,10.000000000000002,20,10.0,22.325652874031725,9,28.0,24.458331906684425,27,26.77777777777778,9.022582107994717,26,12.038461538461538,52.00000000000001,13,52.0,0,2.000000000000001,51483,27,11,1.0,515.582181614349,False,0.052926151624077565,0,0.9020000000000001,53028,0,20,1.0,446.51305748063453,False,0.08366415402401953,18,5.141000000000001,62045,447,0,0.0,9979.566834692181,False,-0.2144974992108497,9,5.429000000000002,61347,373,0,0.0,8327.468522013833,False,-0.23235605506202348,0,0.2,114939,0,62,0.0,559.4000906956725,False,0.029878616015479992,21,6.854000000000003,36337,970,0,0.0,23724.58194948389,False,-0.5691721998038726,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,13,2.616,129912,828,0,0.0,7470.697985419626,False,-0.0643169764012082,0.25,651921,0.0,0.0,7,0,0,16,9,9.0,16,32,33,301.0,87.0,22,9,33,732,2.639123316970654,200.32856216089567
30,33,0,0,0,10.000000000000002,20,10.0,22.699354231459846,18,28.0,24.868482235995096,80,26.15,9.927469146130687,5,58.0,52.00000000000001,9,52.0,7,2.0700000000000007,51736,26,10,1.0,486.9935423145985,False,0.057783817076868076,0,0.9020000000000001,52918,1,30,1.0,690.9806269437954,False,0.08391311179226493,47,5.593000000000001,60162,456,0,0.0,10350.90552954569,False,-0.2343865389644616,33,5.750000000000001,60280,382,0,0.0,8671.153316417662,False,-0.24284536374257285,0,0.2,115213,0,58,0.1,575.7932104755798,False,0.03240102081981654,0,6.833000000000001,34261,1049,0,0.0,26087.037865558854,False,-0.5771700907006022,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,9,2.693000000000001,129484,833,0,0.0,8269.581798726862,False,-0.06451691544475802,0.2625,646884,0.0,0.0,7,0,0,17,11,10.777777777777779,14,31,32,324.0,111.0,21,12,32,742,3.1761296470067464,203.50469180790242
31,32,0,0,0,10.000000000000002,20,10.0,23.3095363963454,32,28.0,24.676344588607563,6,15.166666666666666,9.660884298018233,12,4.25,52.00000000000001,8,52.0,10,2.1630000000000007,51936,29,10,1.0,523.095363963454,False,0.06222115754948569,0,0.9020000000000001,53184,0,26,0.8,606.0479463049804,False,0.08846202631567954,5,5.596000000000002,59772,466,0,0.0,10862.243960696956,False,-0.23596060487053577,1,5.727000000000002,59643,404,0,0.0,9417.052704123542,False,-0.24593946154134316,0,0.2,115122,0,64,0.6,618.2965950731669,False,0.0317775778320335,12,6.953000000000001,33750,1049,0,0.0,25885.485473449335,False,-0.5826384324008307,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,8,2.764000000000001,129353,845,0,0.0,8163.4472318254075,False,-0.06580559519503275,0.3,645590,0.0,0.0,7,0,0,17,6,6.0,12,29,29,249.0,130.0,19,13,29,816,2.0805924059823155,205.58528421388473
32,29,0,0,0,10.000000000000002,20,10.0,23.739591578791792,33,27.0,24.613267834973175,15,23.466666666666665,10.908719835616825,33,19.606060606060606,52.00000000000001,12,52.0,0,2.1530000000000005,52078,30,11,1.0,561.1355073667098,False,0.06549791928537553,0,0.9020000000000001,53733,0,11,0.9,261.1355073667097,False,0.09612469991215616,15,5.741000000000001,58792,492,0,0.0,11679.879056765561,False,-0.24265362633720666,0,5.726000000000002,59440,411,0,0.0,9756.972138883426,False,-0.24632662210637785,0,0.2,115601,0,60,0.6,654.5231901370095,False,0.0362210089301414,23,7.171000000000003,32206,1058,0,0.0,26040.83736940162,False,-0.5957451224149879,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,12,2.876000000000001,128467,878,0,0.0,9577.856015671572,False,-0.06705736723864217,0.3125,643147,0.0,0.0,12,0,0,9,9,9.0,19,28,29,256.0,109.0,17,12,29,1661,2.471748762007337,208.05703297589207
33,29,0,0,0,10.000000000000002,20,10.0,23.68778509507045,57,23.45614035087719,24.61395067880629,16,24.625,10.230225609067423,20,2.2,52.000000000000014,12,52.0,24,2.3930000000000002,52027,30,10,1.0,536.8778509507046,False,0.06421324634666982,11,1.012,53996,0,10,1.0,236.8778509507045,False,0.10122993336335684,11,5.836000000000001,57825,523,0,0.0,12388.711604721844,False,-0.24983178108318582,5,5.776000000000002,58872,437,0,0.0,10351.562086545786,False,-0.24949869881330097,0,0.2,115526,0,65,0.5,664.9646645893826,False,0.035597289251445265,20,7.348000000000001,30847,1069,0,0.0,26312.313275643923,False,-0.6066792105740109,0,0.2,142830,0,4,0.0,208.00000000000006,False,0.0007001134183737765,12,2.984000000000001,128191,898,0,0.0,9186.742596942546,False,-0.07035879903614502,0.3125,640114,0.0,0.0,8,0,0,12,10,9.818181818181818,18,30,24,348.0,117.0,20,9,24,760,3.000812314043287,211.05784528993536
34,24,0,0,0,10.000000000000002,20,10.0,23.510424904646143,27,21.666666666666668,24.11222594206509,19,17.57894736842105,10.69630468844026,22,15.590909090909092,52.000000000000014,11,52.0,17,2.5390000000000006,52059,29,10,1.0,525.1042490464615,False,0.06474465047869822,0,1.0010000000000001,53886,1,20,1.0,480.20849809292287,False,0.10146732293541841,18,6.005000000000002,56993,541,0,0.0,12719.139873413564,False,-0.2576450675333164,1,5.7810000000000015,58590,446,0,0.0,10485.64950747218,False,-0.2520175210483233,0,0.2,115650,1,70,1.0,772.8535541328833,False,0.03718783990370093,17,7.498000000000002,29791,1077,0,0.0,25968.867339604105,False,-0.6176531725320707,0,0.2,142830,0,4,0.0,208.00000000000006,False,0.0007001134183737765,11,3.0820000000000007,127644,920,0,0.0,9840.60031336504,False,-0.07189954662977634,0.375,637443,0.0,0.0,7,0,0,13,12,11.88888888888889,12,25,28,194.0,105.0,14,10,28,751,2.418959674949292,213.47680496488465
35,28,0,0,0,10.0,20,10.0,23.914458944869505,22,29.0,24.19100125673022,32,24.78125,10.403710178496159,9,3.0,52.000000000000014,12,52.0,0,2.5220000000000007,51909,34,20,1.0,818.2891788973901,False,0.06467530707058805,2,1.0210000000000004,54428,0,6,0.6,143.48675366921702,False,0.10907088678947108,2,6.0070000000000014,56643,552,0,0.0,13200.781337567967,False,-0.25892441213049,30,6.080000000000003,57399,457,0,0.0,10928.907737805364,False,-0.2633764486887429,0,0.2,115484,2,80,1.0,880.678816793153,False,0.03618595059169601,9,7.5710000000000015,28786,1098,0,0.0,26561.719379889782,False,-0.6239867380855153,0,0.2,142830,0,4,0.0,208.00000000000006,False,0.0007001134183737765,12,3.191000000000001,127377,929,0,0.0,9665.046755822932,False,-0.07438338646322669,0.325,634856,0.0,0.0,6,0,0,13,12,11.181818181818182,15,28,32,294.0,120.0,18,10,32,519,2.176996619964484,215.65380158484913
36,32,0,0,0,10.0,20,10.0,24.131618950823384,12,29.0,23.829993680340703,10,15.0,10.099585486545598,8,2.0,52.000000000000014,9,52.0,0,2.5220000000000007,51809,34,30,1.0,1063.9485685247014,False,0.0651398918246307,6,1.0790000000000002,54538,0,10,1.0,241.31618950823383,False,0.11230480453305078,0,6.005000000000003,56295,564,0,0.0,13610.23308826439,False,-0.26060327461762134,10,6.150000000000002,57139,457,0,0.0,11028.149860526286,False,-0.2658416342833004,0,0.2,115334,2,90,1.0,956.6226811497852,False,0.03518459133840045,8,7.642000000000001,28442,1098,0,0.0,26165.33306101409,False,-0.6288331140681911,0,0.2,142830,0,4,0.0,208.00000000000006,False,0.0007001134183737765,9,3.2690000000000006,127226,937,0,0.0,9463.311600893225,False,-0.07614674516959123,0.375,633613,0.0,0.0,6,0,0,14,6,5.5,14,28,34,266.0,146.0,18,14,34,200,4.58220478403382,220.23600636888295
37,34,0,0,0,10.0,20,10.0,24.14187880101472,24,24.25,24.062408325189526,44,25.272727272727273,10.608952316077543,29,14.10344827586207,52.000000000000014,12,52.0,0,2.5220000000000007,52291,28,22,1.0,811.1213336223238,False,0.07237608194568915,0,1.0730000000000004,54438,6,14,1.0,397.9863032142061,False,0.11186392249912701,39,6.395000000000004,55176,567,0,0.0,13688.445280175347,False,-0.27325729271047955,5,6.190000000000002,56477,478,0,0.0,11539.818066885036,False,-0.27060101905973144,0,0.2,115464,2,95,1.0,1055.9752866777455,False,0.03679062214718859,24,7.874000000000001,26168,1132,0,0.0,27238.646224114545,False,-0.6443623019051693,0,0.2,142830,0,4,0.0,208.00000000000006,False,0.0007001134183737765,12,3.380000000000001,126592,966,0,0.0,10248.247937330907,False,-0.07783774193353502,0.375,629436,0.0,0.0,10,0,0,13,11,11.0,16,29,39,293.0,164.0,19,15,39,1062,3.1535095630097203,223.38951593189267
38,39,0,0,0,10.0,20,10.0,24.311199234771017,9,29.0,23.997444874298008,12,22.666666666666668,12.382984267142158,21,29.714285714285715,52.00000000000001,11,52.0,0,2.5220000000000007,52492,24,23,1.0,799.1575823997334,False,0.07634470474562197,0,1.0730000000000002,54298,10,24,1.0,683.4687816345045,False,0.11191970677283791,11,6.466000000000003,55005,567,0,0.0,13784.449966115166,False,-0.27469855890487954,1,6.195000000000001,56195,487,0,0.0,11839.554027333485,False,-0.27214932020545185,0,0.2,116012,0,89,0.4,1102.085599775652,False,0.041894980155599316,11,7.960000000000002,25477,1142,0,0.0,27405.082046448326,False,-0.6497949424074497,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,11,3.478000000000001,125778,987,0,0.0,12222.00547166931,False,-0.07662739448706431,0.3,628087,0.0,0.0,9,0,0,17,7,7.0,20,37,33,407.0,127.0,27,12,33,1041,3.4106461530318484,226.80016208492452
39,33,0,0,0,10.0,20,10.0,24.830347622929498,51,27.19607843137255,23.852018832095077,22,22.318181818181817,12.21817684647282,30,11.1,52.00000000000001,5,52.0,4,2.5620000000000007,53025,24,10,1.0,488.303476229295,False,0.08402832189895498,0,1.0730000000000002,54856,10,10,1.0,348.303476229295,False,0.11986470773534082,8,6.535000000000001,54270,592,0,0.0,14699.565792774263,False,-0.2779495793720749,14,6.334000000000002,55140,513,0,0.0,12737.968330562833,False,-0.27924790057087634,0,0.2,116211,0,90,0.6,1099.6359161825537,False,0.04366278699713329,25,8.199000000000002,23648,1158,0,0.0,27620.637807566098,False,-0.6651800305357445,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,5,3.5170000000000012,125395,1017,0,0.0,12425.885852862859,False,-0.0785951319263521,0.325,625375,0.0,0.0,13,0,0,12,10,9.222222222222221,15,27,33,272.0,183.0,17,16,33,1596,3.487452002998907,230.28761408792343
40,33,0,0,0,9.999999999999998,20,10.0,25.67196527545699,63,29.07936507936508,23.41889626759169,12,15.166666666666666,11.564753867366425,13,1.0,52.00000000000001,12,52.0,32,2.878000000000001,53063,22,10,1.0,476.7196527545699,False,0.08468375715053494,11,1.1830000000000003,55113,12,10,1.0,376.7196527545699,False,0.12538379785057566,6,6.5870000000000015,53588,611,0,0.0,15685.570783304222,False,-0.28016422086182197,6,6.380000000000002,53712,557,0,0.0,14299.284658429544,False,-0.2868333450994285,0,0.2,116029,2,100,1.0,1203.313179271826,False,0.04249934382383987,13,8.304,23076,1158,0,0.0,27119.08187787118,False,-0.6725344047075728,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,12,3.6320000000000006,125139,1030,0,0.0,11911.696483387419,False,-0.0821873766631634,0.375,622550,0.0,0.0,6,0,0,15,13,12.341991341991342,13,28,33,291.0,165.0,18,15,33,424,2.42780284199398,232.7154169299174
41,33,0,0,0,9.999999999999998,20,10.0,26.003273989444946,49,27.93877551020408,22.986079780730762,19,18.05263157894737,11.420172028883876,12,9.0,52.0,6,52.0,18,3.0260000000000002,53259,24,10,1.0,500.0327398944494,False,0.08890957203799807,11,1.282,55347,10,10,1.0,360.03273989444943,False,0.12997591310433915,13,6.711000000000002,53024,620,0,0.0,16122.029873455866,False,-0.2842159018428881,6,6.434000000000001,52465,597,0,0.0,15523.954571698632,False,-0.29427024506855737,0,0.2,115847,4,110,1.0,1348.1632423001492,False,0.04151991151945081,12,8.411000000000001,22414,1165,0,0.0,26778.782944551338,False,-0.6799725457446132,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,6,3.680000000000001,124951,1042,0,0.0,11899.819254096998,False,-0.08354516692770277,0.375,620137,0.0,0.0,6,0,0,14,13,12.423809523809524,13,27,36,281.0,168.0,17,16,36,461,2.7252017590217292,235.44061868893914
42,36,0,0,0,9.999999999999998,20,10.0,26.16158765595145,20,28.55,22.91790067299502,31,22.451612903225808,11.259517677576628,3,1.0,51.99999999999999,11,52.0,0,3.0080000000000005,53401,25,11,1.0,537.7774642154659,False,0.09218332788172028,1,1.2810000000000001,55553,9,10,1.0,351.6158765595145,False,0.1340823756263687,6,6.758000000000002,52566,631,0,0.0,16507.961810905366,False,-0.28732152676994743,25,6.678000000000001,51576,606,0,0.0,15853.922119506578,False,-0.3027541474132495,0,0.2,115756,0,120,1.0,1351.1421213091953,False,0.040719824275578236,3,8.429000000000002,21677,1190,0,0.0,27272.301800864076,False,-0.6843545452069073,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,11,3.7840000000000007,124745,1045,0,0.0,11766.195973067577,False,-0.08545515782983193,0.375,618104,0.0,0.0,6,0,0,12,10,9.09090909090909,17,29,32,331.0,155.0,19,17,32,452,2.5934678859775886,238.03408657491673
43,32,0,0,0,9.999999999999998,20,10.0,26.29140299160058,22,28.0,22.68074737544285,38,21.31578947368421,12.632326700603251,12,32.666666666666664,52.0,6,52.0,0,3.008000000000001,53569,29,10,1.0,552.9140299160058,False,0.09575614601054137,1,1.2900000000000003,55778,5,10,1.0,312.9140299160058,False,0.1382673385217339,13,6.882000000000002,52216,631,0,0.0,16589.875287699968,False,-0.2909428445764005,25,6.903000000000002,50490,628,0,0.0,16511.001078725163,False,-0.3116299444649334,0,0.2,115766,8,125,1.0,1760.4868165789492,False,0.04263866609719221,7,8.496,20934,1210,0,0.0,27443.704324285845,False,-0.6902297886754717,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,6,3.8330000000000015,124280,1057,0,0.0,13352.369322537636,False,-0.0831581789961156,0.375,615863,0.0,0.0,8,0,0,11,8,7.090909090909091,15,26,31,258.0,152.0,16,16,31,788,2.5153084869962186,240.54939506191295
44,31,0,0,0,9.999999999999998,20,10.0,26.55813031228262,38,28.526315789473685,22.18302381821397,71,20.56338028169014,11.395450817846974,21,1.4761904761904763,52.0,8,52.0,26,3.2680000000000007,53681,29,10,1.0,555.5813031228262,False,0.09806248782176263,0,1.2890000000000001,55736,5,18,1.0,528.0463456210872,False,0.13960161116830572,28,7.149000000000003,50728,651,0,0.0,17289.342833295985,False,-0.3042808598939771,43,7.3080000000000025,48137,646,0,0.0,17156.552181734573,False,-0.33541977863994277,0,0.2,115179,36,135,1.0,2336.9747178650446,False,0.03996824483296264,21,8.699,18937,1243,0,0.0,27573.498606039968,False,-0.7074998274605815,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,8,3.907000000000001,124129,1078,0,0.0,12284.295981639038,False,-0.08795421264671215,0.375,609357,0.0,0.0,8,0,0,17,17,16.88888888888889,15,32,24,325.0,120.0,21,10,24,510,1.9737469609826803,242.52314202289563
45,24,0,0,0,10.0,20,10.0,26.6695567887526,24,28.0,22.5229457453162,26,26.076923076923077,12.66644860953841,5,56.0,52.0,9,52.0,8,3.3220000000000014,53911,28,10,1.0,546.6955678875261,False,0.10265258005583561,0,1.2890000000000001,55794,6,22,1.0,646.7302493525572,False,0.14198952227668463,26,7.381000000000003,49912,662,0,0.0,17655.24659415422,False,-0.31169881301761065,0,7.2650000000000015,47773,659,0,0.0,17575.237923787965,False,-0.33723202528832924,0,0.2,115339,34,140,1.0,2539.082960676128,False,0.04230166863615136,0,8.678,18379,1261,0,0.0,28401.43458484373,False,-0.7087872529191082,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,9,3.989000000000001,123709,1083,0,0.0,13717.763844130099,False,-0.08587673857719418,0.375,607647,0.0,0.0,10,0,0,13,5,4.888888888888889,15,28,16,280.0,81.0,17,7,16,900,1.717383773997426,244.24052579689305
46,16,0,0,0,10.0,20,10.0,26.809444398159272,53,27.547169811320753,22.699426624410858,11,27.0,12.425942371739696,7,7.0,52.00000000000001,9,52.0,9,3.4040000000000012,54156,27,10,1.0,538.0944439815927,False,0.10755081851833123,12,1.409,56326,7,10,1.0,338.0944439815927,False,0.14967536064287337,11,7.4650000000000025,49053,689,0,0.0,18471.707190331737,False,-0.31698085780213414,0,7.2650000000000015,47062,685,0,0.0,18364.4694127391,False,-0.34093936364694694,0,0.2,115339,24,150,1.0,2408.677594746815,False,0.04171885656774828,7,8.748000000000001,17816,1272,0,0.0,28873.67066625061,False,-0.7117090767177473,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,9,4.07,123554,1090,0,0.0,13544.277185196268,False,-0.08756921606481559,0.375,606136,0.0,0.0,7,0,0,8,6,5.605882352941176,12,20,17,161.0,78.0,10,6,17,911,1.423364821006544,245.6638906178996
47,17,0,0,0,10.0,20,10.0,26.905360773523654,18,28.5,22.760225095952762,47,23.085106382978722,11.0085524892104,45,6.333333333333335,52.00000000000001,9,52.0,8,3.475000000000001,54385,27,10,1.0,539.0536077352365,False,0.11222073267943865,0,1.397,56226,7,20,1.0,608.1072154704731,False,0.1503877413051534,0,7.454000000000002,48792,698,0,0.0,18779.94181991951,False,-0.3182332914230167,47,7.735000000000001,44981,694,0,0.0,18672.320376825417,False,-0.3635205040026634,0,0.2,115177,36,150,1.0,2470.650976835859,False,0.040547798351906875,35,9.091,14713,1297,0,0.0,29520.011949450734,False,-0.7365564913410797,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,9,4.151000000000001,123127,1135,0,0.0,12494.707075253804,False,-0.0942327909487454,0.375,600231,0.0,0.0,8,0,0,7,11,10.88888888888889,15,22,19,198.0,75.0,12,5,19,651,1.6515006559784524,247.31539127387805
48,19,0,0,0,10.0,20,10.0,27.055206531541458,22,29.0,22.416740706948268,22,18.227272727272727,10.485795783555632,70,9.185714285714285,52.00000000000001,11,52.0,1,3.4770000000000008,54641,21,10,1.0,480.55206531541455,False,0.11683508409966839,0,1.397,56385,13,19,1.0,644.0489240992877,False,0.15398910179181208,9,7.544000000000002,48001,720,0,0.0,19479.74870270985,False,-0.3234019879147536,13,7.818000000000001,44721,694,0,0.0,18776.31333288977,False,-0.3659578548576883,0,0.2,115236,39,155,1.0,2499.5512340221057,False,0.0412043299457529,65,9.706000000000003,8610,1306,0,0.0,29276.263363274436,False,-0.7921973284561726,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,11,4.252000000000002,122278,1205,0,0.0,12635.383919184536,False,-0.09968430514028687,0.375,592702,0.0,0.0,7,0,0,10,13,12.09090909090909,12,22,18,212.0,93.0,13,6,18,799,1.5701585680362768,248.88554984191433
49,18,0,0,0,10.0,20,10.0,27.279048338553835,36,29.0,22.57921627927202,70,23.185714285714287,10.27166564369917,48,9.291666666666666,52.00000000000001,12,52.0,0,3.476000000000001,54531,22,20,1.0,765.5809667710766,False,0.11749675383364948,17,1.5670000000000002,56876,12,10,1.0,392.7904833855383,False,0.16142440459285248,42,7.955000000000003,46049,756,0,0.0,20622.960543946698,False,-0.3395772173427074,28,8.085,44077,694,0,0.0,18931.65954695636,False,-0.3725939796873895,0,0.2,114984,57,158,1.0,2909.9384996229737,False,0.040785952749575326,41,10.051000000000002,4546,1348,0,0.0,30436.783544458685,False,-0.8233366247253268,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,12,4.3610000000000015,121597,1253,0,0.0,12870.397051555059,False,-0.10362939828207904,0.375,585490,0.0,0.0,8,0,0,9,13,12.88888888888889,15,24,18,237.0,72.0,14,4,18,862,1.6268560420139693,250.5124058839283
50,18,0,0,0,10.0,20,10.0,27.32463274524616,19,28.0,22.40658832254751,11,17.727272727272727,10.086737781956174,64,9.390625,52.00000000000001,9,52.0,0,3.476000000000001,54811,26,15,1.0,669.8694911786924,False,0.12222089429363744,0,1.5500000000000003,56928,8,16,1.0,517.1941239239386,False,0.16374841395934003,11,8.023000000000001,45810,756,0,0.0,20657.422355406095,False,-0.3421758708963786,0,8.057,43545,713,0,0.0,19482.46314736051,False,-0.37560075493695505,0,0.2,115121,56,153,1.0,2798.039826701955,False,0.0415104214786994,49,10.500000000000002,916,1350,0,0.0,30248.894235439137,False,-0.8566229833233261,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,9,4.439000000000001,120854,1317,0,0.0,13284.233658836281,False,-0.10738257817173684,0.375,580815,0.0,0.0,11,0,0,8,9,9.0,15,23,20,208.0,90.0,13,5,20,1004,1.3679092869861051,251.8803151709144
51,20,0,0,0,10.000000000000002,20,10.0,27.46196376921899,30,28.7,22.426367148319894,34,22.58823529411765,10.600449968980389,60,12.95,52.00000000000001,11,52.0,7,3.546000000000001,55169,27,10,1.0,544.6196376921899,False,0.12823178304530106,0,1.5500000000000003,57070,7,18,1.0,564.3153478459418,False,0.16711757578190825,9,8.102000000000002,44983,778,0,0.0,21365.407812452373,False,-0.3477184918417367,25,8.307,42797,721,0,0.0,19800.07587760689,False,-0.3825048284649233,0,0.2,115414,64,132,1.0,2834.5468933978846,False,0.04429255109852815,29,10.741,-1205,1366,0,0.0,30634.417524604974,False,-0.8738584793673131,0,0.2,142830,0,4,0.0,208.00000000000003,False,0.0007001134183737765,11,4.540000000000001,119869,1377,0,0.0,14596.819607285996,False,-0.109683900166326,0.375,576927,0.0,0.0,12,0,0,8,10,9.777777777777779,16,24,23,215.0,126.0,13,7,23,1390,1.7010379790444858,253.5813531499589
