index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
25,14,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.788397153071308,5,10.0,23.23748580968897,12,25.833333333333332,40.00000000000001,20,40.0,0,0.281,46541,252,0,0.0,2520.0000000000005,False,-0.029243922747304075,0,0.4700000000000001,45911,268,0,0.0,2680.0000000000005,False,-0.040413476574399386,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.4190000000000005,52608,0,0,0.0,0.0,False,-0.07365603704812382,0,0.254,76497,0,31,0.5,720.362060100358,False,0.017935459916164683,7,6.417000000000002,53237.0,138,0,0.0,1764.7988071238406,False,-0.2832152443801979,0,0.5690000000000002,105320,280,20,1.0,7306.496026712912,False,-0.016407036552098516,2,0.364,111580,121,10,1.0,3211.7357829723655,False,0.021616086969936017,0.3125,549584,0.0,0.0,17,0,0,13,3,2.5,16,29,12,201.0,36.0,12,2,12,1045,1.7219998050131835,39.11766394198639
26,12,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.788397153071308,0,,23.447934748358062,55,24.69090909090909,40.00000000000001,20,40.0,0,0.281,46421,264,0,0.0,2640.0000000000005,False,-0.030462419528441746,0,0.4700000000000001,45831,276,0,0.0,2760.0000000000005,False,-0.041225807761824496,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.4140000000000006,52608,0,0,0.0,0.0,False,-0.07365603704812382,0,0.254,76497,0,31,0.0,726.8859771990999,False,0.017978662948486136,55,6.960000000000002,51861.0,138,0,0.0,1764.7988071238406,False,-0.3014396857931219,0,0.5690000000000002,105720,270,20,1.0,7130.942382056676,False,-0.013588908927364706,0,0.36200000000000004,110622,166,10,1.0,4292.357168227439,False,0.017846021645383806,0.25,547450,0.0,0.0,18,0,0,5,3,3.0,21,26,5,162.0,54.0,9,3,5,1000,3.904790626023896,43.02245456801029
27,5,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.788397153071308,0,,23.447934748358062,0,,40.00000000000001,20,40.0,0,0.281,46311,275,0,0.0,2750.0000000000005,False,-0.03157937491115128,0,0.4700000000000001,45741,285,0,0.0,2850.0000000000005,False,-0.042139680347677747,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.4140000000000006,52608,0,0,0.0,0.0,False,-0.07365603704812382,0,0.254,76497,0,31,0.0,726.8859771990999,False,0.017978662948486136,0,6.905000000000001,51861.0,138,0,0.0,1764.7988071238406,False,-0.3014396857931219,0,0.5690000000000002,106200,260,18,1.0,6816.463034573096,False,-0.01067567295821367,0,0.36200000000000004,110942,156,12,1.0,4137.877820743858,False,0.020037177301151985,0.25,548050,0.0,0.0,15,0,0,1,0,0.0,20,21,8,54.0,36.0,3,2,8,1000,0.8767836149781942,43.89923818298848
28,8,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.564741280347597,10,10.5,23.11558357337062,14,15.0,40.00000000000001,20,40.0,0,0.281,46201,286,0,0.0,2860.0000000000005,False,-0.032696330293860806,0,0.4700000000000001,45651,294,0,0.0,2940.0000000000005,False,-0.043053552933531,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,2.514000000000001,52448,0,0,0.0,0.0,False,-0.07647338486732053,0,0.254,76497,0,34,1.0,785.9298414946011,False,0.01836966638077027,7,6.975000000000001,51728.0,138,0,0.0,1733.9342966879685,False,-0.3034055978127494,0,0.5690000000000001,106640,250,17,1.0,6458.895893342656,False,-0.008317932443327312,0,0.36200000000000004,111092,160,13,1.0,4218.4933717393,False,0.02175489602828427,0.375,548147,0.0,0.0,18,0,0,4,3,3.0,21,25,2,144.0,0.0,8,0,2,1105,0.9309673419920728,44.830205524980556
29,2,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.432655226853395,5,10.0,23.268714615915744,11,27.727272727272727,40.00000000000001,20,40.0,0,0.281,46061,300,0,0.0,3000.0000000000005,False,-0.03411790987185476,0,0.4700000000000001,45591,300,0,0.0,3000.0000000000005,False,-0.04366280132409984,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.5540000000000007,52378,0,0,0.0,0.0,False,-0.07770597453821908,0,0.254,76662,0,34,0.5,791.1362969411354,False,0.020589488476889278,6,7.028000000000002,51614.0,138,0,0.0,1715.7064213057686,False,-0.30503618120269543,0,0.5690000000000001,106695,251,18,1.0,6560.4473685948515,False,-0.007363200221160352,0,0.36200000000000004,111532,150,12,1.0,3970.3071923873617,False,0.02460627303836661,0.3125,548423,0.0,0.0,18,0,0,0,2,2.0,18,18,5,36.0,0.0,2,0,5,1215,0.7071358049870469,45.5373413299676
30,5,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.432655226853395,0,,22.77334478845102,19,15.0,40.00000000000001,20,40.0,0,0.281,45951,311,0,0.0,3110.0000000000005,False,-0.035234865254564283,0,0.4700000000000001,45501,309,0,0.0,3090.0000000000005,False,-0.04457667390995309,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.549000000000001,52378,0,0,0.0,0.0,False,-0.07770597453821908,0,0.254,76857,0,21,0.0,478.2402405574714,False,0.021100090331228352,6,7.082000000000001,51500.0,138,0,0.0,1715.7064213057686,False,-0.3065460549825452,0,0.5690000000000001,106875,253,19,1.0,6521.656231478108,False,-0.005913583993834704,0,0.36200000000000004,111867,147,11,1.0,3787.6816839023,False,0.026805795073166182,0.25,548819,0.0,0.0,18,0,0,2,1,1.0,20,22,9,90.0,0.0,5,0,9,1195,0.8856309620314278,46.42297229199903
31,9,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.300985832577807,5,10.0,22.77334478845102,0,,40.00000000000001,20,40.0,0,0.281,45841,322,0,0.0,3220.0000000000005,False,-0.03635182063727382,0,0.4700000000000001,45411,318,0,0.0,3180.0000000000005,False,-0.04549054649580634,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.5990000000000006,52308,0,0,0.0,0.0,False,-0.07893856420911764,0,0.254,76807,0,26,0.5,592.1069644997265,False,0.021191919291284576,0,7.076000000000001,51500.0,138,0,0.0,1697.5360448957374,False,-0.30666638381987643,0,0.5690000000000002,107235,243,20,1.0,6333.922783593598,False,-0.0035114640016175097,0,0.36200000000000004,112307,137,10,1.0,3519.94823601779,False,0.029568955222074804,0.3125,549299,0.0,0.0,17,0,0,7,1,1.0,19,26,12,132.0,0.0,9,0,12,1000,1.243869651982095,47.666841943981126
32,12,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.102138723084346,15,11.0,22.209963438793853,61,19.57377049180328,40.00000000000001,20,40.0,0,0.281,45751,331,0,0.0,3310.0000000000005,False,-0.03726569322312707,0,0.4700000000000001,45301,329,0,0.0,3290.0000000000005,False,-0.046607501878515874,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,15,2.744000000000001,52063,0,0,0.0,0.0,False,-0.08325262805726259,0,0.254,77321,0,13,0.5,288.7295247043201,False,0.025990553519093993,43,7.506000000000003,49542.0,148,0,0.0,1791.1165310164833,False,-0.3319794145198437,0,0.5690000000000002,107145,259,23,1.0,6672.380530647608,False,-0.002796343878800564,3,0.392,111859,162,10,1.0,3998.014077084604,False,0.027682817544225635,0.3125,546872,0.0,0.0,18,0,0,10,8,7.75,16,26,15,150.0,36.0,10,2,15,1409,1.4426616579876281,49.109503601968754
33,15,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,12.102138723084346,0,,23.40569864565024,67,28.970149253731343,40.00000000000001,20,40.0,0,0.281,45641,342,0,0.0,3420.0000000000005,False,-0.0383826486058366,0,0.4700000000000001,45211,338,0,0.0,3380.0000000000005,False,-0.047521374464369125,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.7290000000000005,52063,0,0,0.0,0.0,False,-0.08325262805726259,0,0.254,77526,0,8,0.0,187.24558916520192,False,0.028033625082216546,62,8.083000000000002,49170.0,148,0,0.0,1791.1165310164833,False,-0.3369063710646168,0,0.5690000000000002,107585,249,22,1.0,6708.01896276691,False,0.0013359341587625211,0,0.389,110278,219,11,1.0,5565.848003397403,False,0.02048834293127332,0.25,545364,0.0,0.0,16,0,0,2,1,1.0,27,29,10,183.0,72.0,11,4,10,1205,1.274371228995733,50.38387483096449
34,10,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,11.939196701035343,10,10.5,23.66673502674312,144,24.28472222222222,40.00000000000001,20,40.0,0,0.281,45521,354,0,0.0,3540.0000000000005,False,-0.03960114538697427,0,0.4700000000000001,45131,346,0,0.0,3460.0000000000005,False,-0.048333705651794234,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,2.829000000000001,51903,0,0,0.0,0.0,False,-0.0860699758764593,0,0.254,77471,0,13,0.5,307.66755534766054,False,0.028102641983415673,144,9.461000000000002,37271.0,153,0,0.0,1826.6970952584074,False,-0.49426713444989995,0,0.5690000000000002,106233,308,21,1.0,8129.35438823688,False,-0.004452733578373319,0,0.389,108933,284,12,1.0,7201.352747595046,False,0.015729403776457717,0.3125,530353,0.0,0.0,17,0,0,3,11,11.0,21,24,8,126.0,54.0,7,3,8,1000,1.0612833210034296,51.44515815196792
35,8,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.77505305864632,11,10.454545454545455,23.907376129809997,65,25.523076923076925,40.00000000000001,20,40.0,0,0.281,45401,366,0,0.0,3660.0,False,-0.04081964216811194,0,0.4700000000000001,45051,354,0,0.0,3540.0,False,-0.04914603683921935,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,11,2.9290000000000003,51724,0,0,0.0,0.0,False,-0.0892218837491856,0,0.254,77356,1,23,1.0,561.6447040442763,False,0.028261424738383063,65,9.967000000000002,35782.0,153,0,0.0,1801.5831179728868,False,-0.5141545162578117,0,0.5690000000000002,105069,351,23,1.0,9311.48902156331,False,-0.009624026222512115,0,0.38900000000000007,109238,286,10,1.0,7237.509573125659,False,0.018645510795667782,0.375,527511,0.0,0.0,17,0,0,2,5,5.0,20,22,5,108.0,36.0,6,2,5,1000,0.887493957998231,52.33265210996615
36,5,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.734063963327147,5,11.0,23.436542017660493,24,14.583333333333334,40.00000000000001,20,40.0,0,0.281,45311,375,0,0.0,3750.0,False,-0.04173351475396519,0,0.4700000000000001,44941,365,0,0.0,3650.0,False,-0.05026299222192888,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,2.968000000000001,51659,0,0,0.0,0.0,False,-0.09036643130073427,0,0.254,77301,0,29,0.6,679.6597185121543,False,0.028314502195357468,24,10.142000000000001,35028.0,153,0,0.0,1795.3117863890534,False,-0.5241824047627972,0,0.5690000000000001,105424,358,18,1.0,9110.282042322457,False,-0.007327842323282363,0,0.389,109333,283,15,1.0,7232.54139099792,False,0.019480559752136504,0.325,526887,0.0,0.0,17,0,0,0,5,5.0,18,18,5,54.0,36.0,3,2,5,1000,0.8032931139459834,53.13594522391213
37,5,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.734063963327147,0,,23.206323738843952,12,15.0,40.00000000000001,20,40.0,0,0.281,45231,383,0,0.0,3830.0,False,-0.042545845941390305,0,0.4700000000000001,44821,377,0,0.0,3770.0,False,-0.05148148900306655,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,2.963000000000001,51659,0,0,0.0,0.0,False,-0.09036643130073427,0,0.254,77391,0,23,0.0,533.745445993411,False,0.02854022652075685,6,10.178000000000003,34914.0,153,0,0.0,1795.3117863890534,False,-0.525692278542647,0,0.5690000000000001,105704,348,21,1.0,8915.800661117695,False,-0.005678256080739038,0,0.389,109673,285,12,1.0,7093.802265570526,False,0.021923271139219467,0.25,527283,0.0,0.0,18,0,0,2,1,1.0,18,20,9,54.0,36.0,3,2,9,1090,0.8009408779907972,53.93688610190293
38,9,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.604284663870231,10,10.5,23.08377272218402,6,15.0,40.00000000000001,20,40.0,0,0.281,45131,393,0,0.0,3930.0,False,-0.0435612599256717,0,0.4700000000000001,44721,387,0,0.0,3870.0,False,-0.052496902987347945,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,3.063000000000001,51499,0,0,0.0,0.0,False,-0.09318377911993098,0,0.254,77376,0,27,1.0,623.2618634989685,False,0.028934359320152692,0,10.172,34914.0,153,0,0.0,1775.4555535721454,False,-0.5258237715483348,0,0.5690000000000001,105934,344,23,1.0,8860.817816431303,False,-0.0038504128655246638,0,0.389,110153,275,10,1.0,6748.037498600605,False,0.02469531594895166,0.375,527618,0.0,0.0,18,0,0,5,2,2.0,18,23,10,108.0,54.0,6,3,10,1090,0.9161385039915331,54.85302460589446
39,10,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.446689216935987,19,10.736842105263158,23.128573817375656,14,24.285714285714285,40.0,20,40.0,0,0.281,45021,404,0,0.0,4040.0,False,-0.044678215308381224,0,0.4700000000000001,44631,396,0,0.0,3960.0,False,-0.053410775573201195,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,19,3.2430000000000008,51132,0,0,0.0,0.0,False,-0.09964607068021342,0,0.254,77476,0,32,1.0,740.114362156021,False,0.031032636863144634,9,10.262000000000002,34616.0,162,0,0.0,1854.3636531436298,False,-0.5292480851546055,0,0.5690000000000002,106414,334,21,1.0,8564.94365500347,False,-0.000853211655263183,0,0.38900000000000007,110133,279,12,1.0,6932.872095047808,False,0.025348954766397164,0.375,527313,0.0,0.0,19,0,0,4,5,5.0,21,25,11,129.0,36.0,8,2,11,1205,1.0474581579910591,55.90048276388552
40,11,0,0,0,9.999999999999998,20,10.0,9.416277151498488,0,,11.446689216935987,0,,23.15143650436485,15,23.666666666666668,40.0,20,40.0,0,0.281,44911,415,0,0.0,4149.999999999999,False,-0.04579517069109076,0,0.4700000000000001,44541,405,0,0.0,4049.999999999999,False,-0.054324648159054446,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.224000000000001,51132,0,0,0.0,0.0,False,-0.09964607068021342,0,0.254,77756,0,22,0.0,509.3316030960267,False,0.033212796863012144,5,10.303,34521.0,162,0,0.0,1854.3636531436298,False,-0.5305063133044804,0,0.5690000000000002,106494,334,22,1.0,8612.579792457858,False,8.385063975352489e-05,0,0.389,110498,274,11,1.0,6783.493602195968,False,0.027969300765386892,0.25,527743,0.0,0.0,17,0,0,3,1,1.0,23,26,15,150.0,18.0,10,1,15,1280,1.2241264510084875,57.12460921489401
41,15,0,0,0,9.999999999999998,20,10.0,9.416277151498488,0,,11.446689216935987,0,,24.426572070407115,77,29.68831168831169,40.0,20,40.0,0,0.281,44841,422,0,0.0,4219.999999999999,False,-0.04650596048008773,0,0.4700000000000001,44411,418,0,0.0,4179.999999999999,False,-0.055644686338620256,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.2240000000000006,51132,0,0,0.0,0.0,False,-0.09964607068021342,0,0.254,78166,0,12,0.0,293.11886484488537,False,0.037211229122318806,67,10.968000000000002,33279.0,162,0,0.0,1854.3636531436298,False,-0.5469559908007388,0,0.5690000000000002,106381,340,22,1.0,9185.03450393842,False,0.00164740143124634,0,0.389,109125,325,11,1.0,8378.635922882313,False,0.02277547780452518,0.25,525225,0.0,0.0,19,0,0,4,2,2.0,24,28,14,183.0,72.0,11,4,14,1410,1.3403780219960026,58.46498723689001
42,14,0,0,0,9.999999999999998,20,10.0,9.416277151498488,0,,11.355768447970371,10,10.5,24.79445251756963,125,25.84,40.0,20,40.0,0,0.281,44721,434,0,0.0,4339.999999999999,False,-0.0477244572612254,0,0.4700000000000001,44331,426,0,0.0,4259.999999999999,False,-0.05645701752604537,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,3.3240000000000007,50972,0,0,0.0,0.0,False,-0.10246341849941011,0,0.254,78061,0,22,1.0,545.4779553865319,False,0.03749174175454311,125,12.151000000000002,25275.0,162,0,0.0,1839.6344885712,False,-0.6530625638148736,0,0.5690000000000002,105318,386,21,1.0,10410.658671781877,False,-0.002415996462790812,0,0.389,107758,384,12,1.0,10001.06976674674,False,0.017758977564724332,0.375,514326,0.0,0.0,18,0,0,4,8,8.0,21,25,10,179.0,72.0,10,4,10,1000,1.2359141919878311,59.70090142887784
43,10,0,0,0,9.999999999999998,20,10.0,9.416277151498488,0,,11.225968679951611,14,10.357142857142858,24.620838609821018,50,23.12,40.0,0,,0,0.281,44601,446,0,0.0,4459.999999999999,False,-0.04894295404236307,0,0.4700000000000001,44251,434,0,0.0,4339.999999999999,False,-0.05726934871347048,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,14,3.4540000000000006,50736,0,0,0.0,0.0,False,-0.10661900653272526,0,0.254,78006,0,27,0.5,664.7626424651675,False,0.03755322730530677,50,12.526000000000003,23670.0,171,0,0.0,1919.6406442717255,False,-0.6737901762560976,0,0.5690000000000002,104292,417,31,1.0,11506.889700295364,False,-0.006729383703119502,0,0.38900000000000007,107628,383,22,1.0,10309.78118756145,False,0.017978812302269394,0.3125,511074,0.0,0.0,9,0,0,3,7,7.0,22,25,8,126.0,54.0,7,3,8,200,0.9782098060240969,60.67911123490194
44,8,0,0,0,9.999999999999998,20,10.0,9.416277151498488,0,,11.225968679951611,0,,24.414099891007147,9,14.444444444444445,40.0,0,,0,0.281,44491,457,0,0.0,4569.999999999999,False,-0.0500599094250726,0,0.4700000000000001,44161,443,0,0.0,4429.999999999999,False,-0.05818322129932373,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.440000000000001,50736,0,0,0.0,0.0,False,-0.10661900653272526,0,0.254,78006,0,27,0.0,659.180697057193,False,0.03751626224823645,9,12.566000000000003,23469.0,171,0,0.0,1919.6406442717255,False,-0.676452322131096,0,0.5690000000000001,104292,407,41,1.0,11576.53865563991,False,-0.006415057831232153,0,0.389,107498,382,32,1.0,10606.18615836473,False,0.018143108006808885,0.25,510543,0.0,0.0,9,0,0,0,2,2.0,22,22,7,90.0,54.0,5,3,7,200,0.9400560770300217,61.61916731193196
45,7,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.106354343119575,15,10.333333333333334,24.194024589993173,9,14.444444444444445,40.0,0,,0,0.281,44401,466,0,0.0,4660.0,False,-0.05097378201092585,0,0.4700000000000001,44051,454,0,0.0,4540.0,False,-0.059300176682033266,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,15,3.5900000000000007,50456,0,0,0.0,0.0,False,-0.11154936521631949,0,0.254,77901,0,37,1.0,895.1789098297475,False,0.0376884290016937,9,12.647000000000004,23218.0,176,0,0.0,1954.7183643890453,False,-0.6795443997961071,0,0.5690000000000001,104232,401,51,1.0,11741.803860587263,False,-0.006210775872646372,0,0.389,107428,377,42,1.0,10801.147270427426,False,0.018391147613197076,0.375,509577,0.0,0.0,9,0,0,4,5,5.0,18,22,9,72.0,54.0,4,3,9,200,1.020588300016243,62.6397556119482
46,9,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.106354343119575,0,,24.094881336914984,4,15.0,40.0,0,,0,0.281,44321,474,0,0.0,4740.0,False,-0.05178611319835097,0,0.4700000000000001,43931,466,0,0.0,4660.0,False,-0.060518673463170934,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.5750000000000006,50456,0,0,0.0,0.0,False,-0.11154936521631949,0,0.254,77901,0,37,0.0,891.5106094658544,False,0.0376641365870618,4,12.678,23142.0,176,0,0.0,1954.7183643890453,False,-0.680550982316007,0,0.5690000000000001,104172,395,61,1.0,11957.478128081419,False,-0.005778997716053559,0,0.389,107428,367,52,1.0,10922.8214506478,False,0.018940263426847896,0.25,509241,0.0,0.0,9,0,0,4,1,1.0,17,21,11,90.0,72.0,5,4,11,200,0.9943421700154431,63.634097781963646
47,11,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.106354343119575,0,,24.094881336914984,0,,40.0,0,,0,0.281,44231,483,0,0.0,4830.0,False,-0.05269998578420422,0,0.4700000000000001,43821,477,0,0.0,4770.0,False,-0.06163562884588047,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.5750000000000006,50456,0,0,0.0,0.0,False,-0.11154936521631949,0,0.254,77901,0,37,0.0,891.5106094658544,False,0.0376641365870618,0,12.674000000000003,23142.0,176,0,0.0,1954.7183643890453,False,-0.680550982316007,0,0.5690000000000002,104172,385,71,1.0,12116.529314712268,False,-0.005061199399264056,0,0.38900000000000007,107428,357,62,1.0,11081.87263727865,False,0.0196580617436374,0.25,509041,0.0,0.0,8,0,0,6,0,0.0,18,24,9,126.0,72.0,7,4,9,200,1.0828612289624289,64.71695901092608
48,9,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.106354343119575,0,,23.96067721930668,5,15.0,40.0,0,,0,0.281,44151,491,0,0.0,4910.0,False,-0.05351231697162933,0,0.4700000000000001,43701,489,0,0.0,4890.0,False,-0.06285412562701813,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,0,3.5750000000000006,50456,0,0,0.0,0.0,False,-0.11154936521631949,0,0.254,77901,0,37,0.0,886.5450571143472,False,0.03763125344101797,5,12.724000000000002,23047.0,176,0,0.0,1954.7183643890453,False,-0.6818092104658818,0,0.5690000000000002,104172,375,81,1.0,12225.253957240006,False,-0.0045705248745836835,0,0.389,107353,352,72,1.0,11314.158381195952,False,0.02002941746710447,0.25,508671,0.0,0.0,8,0,0,17,1,1.0,10,27,13,132.0,0.0,9,0,13,200,1.3054123519686982,66.02237136289477
49,13,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.05160217077889,10,10.5,23.67498691939302,55,22.09090909090909,40.0,0,,0,0.281,44051,501,0,0.0,5010.0,False,-0.05452773095591072,0,0.4700000000000001,43601,499,0,0.0,4990.0,False,-0.06386953961129953,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,3.6750000000000007,50296,0,0,0.0,0.0,False,-0.1143667130355162,0,0.254,77946,0,37,1.0,875.9745160175418,False,0.03815725544691957,45,13.169000000000002,21847.0,176,0,0.0,1945.0819820570848,False,-0.6977664332406853,0,0.5690000000000002,104022,375,91,1.0,12518.120094772383,False,-0.004602720009872778,0,0.389,106288,387,82,1.0,12442.2199378051,False,0.015507667309641968,0.375,505941,0.0,0.0,10,0,0,15,6,6.0,11,26,17,168.0,36.0,11,2,17,350,1.4845887309638783,67.50696009385865
50,17,0,0,0,10.0,20,10.0,9.416277151498488,0,,11.001305964906285,10,10.5,24.414968245963443,85,27.235294117647058,40.0,0,,0,0.281,43921,514,0,0.0,5140.0,False,-0.05584776913547653,0,0.4700000000000001,43531,506,0,0.0,5060.0,False,-0.0645803294002965,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,10,3.765000000000001,50136,0,0,0.0,0.0,False,-0.11718406085471289,0,0.254,78401,0,27,1.0,659.2041426410129,False,0.042747997712945275,65,13.774000000000003,19712.0,176,0,0.0,1936.2298498235061,False,-0.7261020764087288,0,0.5690000000000002,102827,410,101,1.0,14050.136980845013,False,-0.008474799483509442,0,0.389,105168,417,92,1.0,13861.041758566756,False,0.011801688578344566,0.375,501586,0.0,0.0,13,0,0,17,5,5.0,12,29,21,204.0,72.0,13,4,21,760,1.4793711199890822,68.98633121384773
51,21,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,10.953028692063818,5,10.0,24.552602842092067,35,26.0,40.0,0,,0,0.281,43831,523,0,0.0,5230.000000000001,False,-0.05676164172132979,0,0.4700000000000001,43421,517,0,0.0,5170.000000000001,False,-0.06569728478300603,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,3.805000000000001,50066,0,0,0.0,0.0,False,-0.11841665052561146,3,0.28400000000000003,79089,0,5,0.5,122.76301421046034,False,0.04830776932181798,5,13.759000000000002,19612.0,176,0,0.0,1927.733049803232,False,-0.7274827950558042,0,0.5690000000000002,101917,435,111,1.0,15120.38223631005,False,-0.011858444114097498,0,0.38900000000000007,105168,407,102,1.0,14072.909356731472,False,0.01275784746383499,0.3125,500994,0.0,0.0,8,0,0,18,3,2.1,15,33,21,255.0,108.0,15,6,21,200,1.5759079220006242,70.56223913584836
52,21,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,10.904569586054595,5,10.0,24.40913201148283,5,14.0,40.0,0,,0,0.281,43731,533,0,0.0,5330.000000000001,False,-0.057777055705611174,0,0.4700000000000001,43321,527,0,0.0,5270.000000000001,False,-0.06671269876728743,0,0.2,57890,0,0,0.0,0.0,False,0.01935165783310736,5,3.850000000000001,49996,0,0,0.0,0.0,False,-0.11964924019651,0,0.281,79039,0,10,0.5,244.09132011482828,False,0.04844901076854444,5,13.804000000000002,19512.0,176,0,0.0,1919.2042471456089,False,-0.7288637256324543,0,0.5690000000000001,101917,425,121,1.0,15213.881104880202,False,-0.011436483537109571,0,0.389,105098,402,112,1.0,14292.471068616098,False,0.013116909625403161,0.3125,500504,0.0,0.0,10,0,0,13,2,2.0,17,30,18,219.0,144.0,13,8,18,200,1.5204920310061425,72.0827311668545
