index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
33,30,0,0,0,10.000000000000002,20,10.0,14.689523364485074,35,15.457142857142857,30.209943837556313,6,32.0,30.999999999999996,20,31.0,0,0.2,37111,13,104,1.0,1657.7104299064476,False,0.08536031625338214,23,3.373000000000001,25303.0,334,0,0.0,3340.0000000000005,False,-0.2283728115345005,0,0.2,43676,0,10,0.0,302.0994383755631,False,0.008399284873861771,0,0.533,43986,242,43,1.0,4853.892239220309,False,0.0678971542867368,12,1.679,58997,0,6,0.6,185.99999999999997,False,-0.03219994758909853,0,1.4780000000000002,59734,0,0,0.0,0.0,False,-0.021652253668763104,0.43333333333333335,268807,0.0,0.0,13,0,0,5,8,8.0,19,24,27,135.0,105.0,10,20,27,952,1.277567066019401,50.57512838509865
34,27,0,0,0,10.000000000000002,20,10.0,15.395812539978198,11,26.0,30.443824985554695,17,32.0,30.999999999999996,20,31.0,0,0.2,37277,15,103,1.0,1735.7686916177545,False,0.09122566500197031,0,3.350000000000001,25223.0,342,0,0.0,3420.0000000000005,False,-0.22951710722050578,0,0.2,43676,0,10,0.0,304.4382498555469,False,0.00842619126887338,0,0.533,44244,243,36,1.0,4837.160146694671,False,0.07364088337737189,0,1.6670000000000005,59121,0,2,0.0,61.99999999999999,False,-0.031184486373165617,16,1.6380000000000003,58928,7,10,1.0,523.1067748988828,False,-0.030569421720233178,0.5,268469,0.0,0.0,12,0,0,5,7,7.0,19,24,26,129.0,84.0,9,18,26,1154,1.2889278589864261,51.86405624408508
35,26,0,0,0,10.0,20,10.0,15.553802015276698,27,16.48148148148148,29.60666056297255,5,10.0,30.999999999999993,20,31.0,0,0.2,37492,16,100,1.0,1715.38020152767,False,0.0970846235485707,14,3.4900000000000007,24919.0,351,0,0.0,3510.0,False,-0.23692642178738987,0,0.2,43676,0,10,0.0,296.0666056297255,False,0.00832988134036307,0,0.533,43849,260,41,1.0,5257.8616070538155,False,0.0693923612242167,8,1.7470000000000003,59053,0,5,0.5,154.99999999999997,False,-0.031536622117400416,0,1.622,59238,0,7,0.7,216.99999999999994,False,-0.027998886268343817,0.5333333333333333,268227,0.0,0.0,12,0,0,5,6,5.5,19,24,29,128.0,63.0,10,16,29,885,1.208090024010744,53.07214626809582
36,29,0,0,0,10.0,20,10.0,16.059858869695258,25,19.44,29.28344042434942,23,27.73913043478261,31.0,20,31.0,0,0.2,37865,17,88,1.0,1583.2675805331828,False,0.1058654820421842,3,3.5060000000000007,24769.0,360,0,0.0,3600.0,False,-0.23993019796315368,0,0.2,43676,0,10,0.0,292.8344042434942,False,0.0082926971175221,0,0.533,44001,275,28,1.0,5236.39752104798,False,0.07264273987676573,1,1.7490000000000003,58564,13,10,1.0,690.6847255165424,False,-0.035158831846857405,7,1.6920000000000004,59387,0,0,0.0,0.0,False,-0.027335560796645703,0.5,268262,0.0,0.0,17,0,0,8,5,4.75,19,27,28,129.0,63.0,13,16,28,1662,1.476770123001188,54.54891639109701
37,28,0,0,0,10.0,20,10.0,16.630200709568324,15,23.2,29.021230447937015,17,27.176470588235293,31.0,15,31.0,0,0.2,38045,19,86,1.0,1620.1972610228759,False,0.11154304355508167,3,3.5330000000000004,24674.0,368,0,0.0,3680.0,False,-0.24150360453141093,0,0.2,43676,0,10,0.0,290.2123044793701,False,0.0082625316883642,0,0.533,44115,280,21,1.0,5265.902038085807,False,0.07560514976399858,0,1.7480000000000004,58257,20,15,1.0,1045.4246089587402,False,-0.037281965663008225,10,1.7850000000000004,59267,0,0,0.0,0.0,False,-0.02930096960167715,0.5,268034,0.0,0.0,13,0,0,11,6,6.0,20,31,27,141.0,70.0,14,14,27,1117,1.2381568339769728,55.78707322507398
38,27,0,0,0,10.0,20,10.0,16.38084725256995,3,2.3333333333333335,29.4802616182077,22,32.04545454545455,30.999999999999996,20,31.0,0,0.2,37965,17,96,1.0,1742.5613362467152,False,0.11100471072557948,3,3.56,24498.0,380,0,0.0,3800.0,False,-0.24482206202082618,0,0.2,43676,0,10,0.0,294.802616182077,False,0.008315340023262556,1,0.543,44787,273,10,1.0,4766.773916133673,False,0.08532481151504394,0,1.7480000000000004,58279,18,16,1.0,1026.6447091277385,False,-0.03707543313410855,11,1.8850000000000002,58682,4,10,1.0,427.92104647283077,False,-0.03537800505705562,0.6666666666666666,267887,0.0,0.0,14,0,0,8,8,7.142857142857142,20,28,23,107.0,40.0,13,14,23,960,1.2647150629782118,57.051788288052194
39,23,0,0,0,10.0,20,10.0,16.57425422592763,21,18.0,29.533410656493302,2,33.0,30.999999999999996,20,31.0,0,0.2,38140,17,95,1.0,1744.5541514631248,False,0.11603950897504174,10,3.657000000000001,24276.0,390,0,0.0,3900.0,False,-0.24974253347064881,0,0.2,43676,0,10,0.0,295.334106564933,False,0.008321454449460785,0,0.542,44475,284,18,1.0,5238.6895919803255,False,0.08357518742787172,0,1.7480000000000004,58556,9,16,1.0,761.8006959084396,False,-0.03470747595724871,0,1.8740000000000003,58959,0,5,0.5,154.99999999999997,False,-0.03307619234800838,0.5833333333333334,268082,0.0,0.0,18,0,0,9,3,3.0,14,23,19,72.0,42.0,9,14,19,1161,2.408799564000219,59.46058785205241
40,19,0,0,0,9.999999999999998,20,10.0,16.099641238315034,11,9.272727272727273,29.965062182813647,13,33.92307692307692,30.999999999999996,0,,0,0.2,38030,18,105,1.0,1870.4623300230785,False,0.11469364815801399,11,3.7570000000000014,24032.0,399,0,0.0,3989.999999999999,False,-0.255435404508525,0,0.2,43676,0,10,0.0,299.6506218281365,False,0.00837111294726592,0,0.542,44814,285,15,1.0,5037.873685661989,False,0.089064857641871,0,1.7480000000000004,58115,12,26,1.0,1165.5807461937636,False,-0.03862371637354424,0,1.874,58959,0,5,0.0,154.99999999999997,False,-0.03307619234800838,0.5,267626,0.0,0.0,10,0,0,5,3,3.0,19,24,17,54.0,33.0,8,11,17,641,0.9595069470233284,60.42009479907574
41,17,0,0,0,9.999999999999998,20,10.0,15.73881347217806,4,2.0,29.965062182813647,0,,30.999999999999996,0,,0,0.2,37900,21,115,1.0,2019.9635493004769,False,0.1131131071818926,4,3.786000000000001,23886.0,406,0,0.0,4059.999999999999,False,-0.25861082503718963,0,0.2,43676,0,10,0.0,299.6506218281365,False,0.00837111294726592,0,0.542,44806,279,25,1.0,5140.2555133080195,False,0.09005862032704451,0,1.7480000000000004,58115,2,36,1.0,1175.930124365627,False,-0.03853896321110437,0,1.8740000000000003,58959,0,5,0.0,154.99999999999997,False,-0.03307619234800838,0.5,267342,0.0,0.0,8,0,0,6,1,1.0,15,21,22,45.0,66.0,5,12,22,200,1.0241214400157332,61.444216239091475
42,22,0,0,0,9.999999999999998,20,10.0,15.73881347217806,0,,29.965062182813647,0,,30.999999999999996,0,,0,0.2,37770,24,125,1.0,2207.3516840222574,False,0.11207448912950936,0,3.7820000000000014,23816.0,413,0,0.0,4129.999999999999,False,-0.2596120837624442,0,0.2,43676,0,10,0.0,299.6506218281365,False,0.00837111294726592,0,0.542,44806,269,35,1.0,5282.518000414376,False,0.09169525102865005,0,1.7480000000000004,58115,0,38,0.2,1177.9999999999998,False,-0.03852201257861635,0,1.8740000000000003,58959,0,5,0.0,154.99999999999997,False,-0.03307619234800838,0.3666666666666667,267142,0.0,0.0,8,0,0,9,0,0.0,15,24,24,106.0,84.0,9,13,24,200,1.2664043070399202,62.710620546131395
43,24,0,0,0,9.999999999999998,20,10.0,16.163425879071784,20,19.15,29.990356962689823,1,33.0,30.999999999999996,0,,0,0.2,37978,27,122,1.0,2241.9379572467574,False,0.11851953823730917,7,3.8520000000000008,23635.0,420,0,0.0,4199.999999999999,False,-0.26378876301636345,0,0.2,43676,0,10,0.0,299.9035696268982,False,0.008374022935287129,0,0.542,44456,279,44,1.0,5829.1715266193805,False,0.08993110679006233,0,1.7480000000000004,58115,0,38,0.0,1177.9999999999998,False,-0.03852201257861635,0,1.8740000000000003,58926,0,6,0.1,185.99999999999997,False,-0.033362814465408806,0.35000000000000003,266786,0.0,0.0,9,0,0,8,2,2.0,17,25,21,145.0,75.0,9,15,21,571,1.2967973859631456,64.00741793209454
44,21,0,0,0,9.999999999999998,20,10.0,15.3251023308153,13,6.0,29.990356962689823,0,,30.999999999999996,0,,0,0.2,37908,24,132,1.0,2262.9135076676193,False,0.11681704868502714,13,3.9750000000000014,23310.0,433,0,0.0,4329.999999999999,False,-0.27122668497539765,0,0.2,43676,0,10,0.0,299.9035696268982,False,0.008374022935287129,0,0.542,44378,282,54,1.0,5941.158133275166,False,0.08942476339417384,0,1.7480000000000004,58115,0,38,0.0,1177.9999999999998,False,-0.03852201257861635,0,1.874,58926,0,6,0.0,185.99999999999997,False,-0.033362814465408806,0.3333333333333333,266313,0.0,0.0,7,0,0,10,1,1.0,15,25,18,106.0,51.0,9,12,18,200,1.2567975060082972,65.26421543810284
45,18,0,0,0,10.0,20,10.0,16.157750083312553,12,26.0,30.0717100300509,3,33.0,30.999999999999996,0,,0,0.2,38140,22,130,1.0,2320.507510830632,False,0.12427777078084783,0,3.9620000000000006,23190.0,445,0,0.0,4450.0,False,-0.27294312850440555,0,0.2,43676,0,10,0.0,300.717100300509,False,0.008383382038338157,0,0.542,44165,284,61,1.0,6423.17533549387,False,0.0900692022398172,0,1.7480000000000004,58082,0,39,0.1,1208.9999999999998,False,-0.038808634696016774,0,1.8740000000000003,58860,0,8,0.2,247.99999999999997,False,-0.033936058700209645,0.38333333333333336,266113,0.0,0.0,11,0,0,5,0,0.0,20,25,14,110.0,42.0,9,9,14,611,1.2272118320106529,66.49142727011349
46,14,0,0,0,10.0,20,10.0,16.77441493449515,15,22.466666666666665,30.36071740727337,17,32.05882352941177,30.999999999999996,0,,0,0.2,38372,20,128,1.0,2347.1251116153794,False,0.1312954158315507,3,3.992000000000001,23032.0,457,0,0.0,4570.0,False,-0.2757466529351184,0,0.2,43676,0,10,0.0,303.6071740727337,False,0.00841663032157672,0,0.542,44373,289,54,1.0,6487.284656061861,False,0.0955925251491172,0,1.7480000000000004,57537,7,49,1.0,1731.5250218509134,False,-0.043455802690555254,0,1.8740000000000003,58860,0,8,0.0,247.99999999999997,False,-0.033936058700209645,0.5,265850,0.0,0.0,10,0,0,8,2,2.0,17,25,16,64.0,33.0,8,6,16,1057,1.181254847033415,67.6726821171469
47,16,0,0,0,10.0,20,10.0,16.552631073799155,12,14.0,30.76112425179484,34,32.0,30.999999999999996,0,,0,0.2,38262,21,138,1.0,2494.2630881842833,False,0.130253219592978,12,4.109000000000001,22858.0,466,0,0.0,4660.0,False,-0.27943700652248543,0,0.2,43676,0,10,0.0,307.6112425179484,False,0.008462694336638274,0,0.542,45293,291,30,1.0,5739.6493700293995,False,0.10815941937818548,0,1.7480000000000004,56993,14,59,1.0,2259.6557395251275,False,-0.048040686095345835,0,1.8740000000000003,58316,7,18,1.0,773.3278697625638,False,-0.03854389519651988,0.6666666666666666,265398,0.0,0.0,9,0,0,7,1,1.0,13,20,20,75.0,33.0,5,11,20,1288,1.078619042003993,68.7513011591509
48,20,0,0,0,10.0,20,10.0,16.552631073799155,0,,30.813484306602838,3,33.0,30.999999999999996,0,,0,0.2,38162,21,148,1.0,2659.789398922275,False,0.1297601184191881,0,4.097,22758.0,476,0,0.0,4760.0,False,-0.28086737612999196,0,0.2,43676,0,10,0.0,308.1348430660284,False,0.00846871799578976,0,0.542,45392,281,37,1.0,5791.388251081868,False,0.11103249103909008,0,1.7480000000000004,56960,5,69,1.0,2293.0674215330137,False,-0.04830755845835784,0,1.874,58250,0,27,0.9,836.9999999999999,False,-0.03910344601677149,0.65,265198,0.0,0.0,11,0,0,16,0,0.0,9,25,24,87.0,63.0,9,11,24,299,1.3641879949718714,70.11548915412277
49,24,0,0,0,10.0,20,10.0,17.132063990728582,13,23.153846153846153,31.538419644776937,34,34.0,30.999999999999996,0,,0,0.2,38342,23,146,1.0,2731.281342646373,False,0.13593204804105688,1,4.107000000000001,22658.0,484,0,0.0,4840.0,False,-0.28258381965899987,0,0.2,43676,0,10,0.0,315.38419644776934,False,0.008552116750814229,0,0.542,46247,284,13,1.0,5275.505628749017,False,0.12476997870264847,0,1.7480000000000004,56382,12,79,1.0,2827.4610357373226,False,-0.05339801955796878,0,1.8740000000000003,57672,7,37,1.0,1367.7689375134382,False,-0.044223590330897566,0.6666666666666666,264977,0.0,0.0,10,0,0,15,1,1.0,12,27,24,120.0,87.0,10,14,24,1656,1.3657476480002515,71.48123680212302
50,24,0,0,0,10.0,20,10.0,17.305248589240538,3,25.0,31.538419644776937,0,,30.999999999999996,0,,0,0.2,38327,22,153,1.0,2867.7030341538025,False,0.13745427157217366,0,4.106000000000001,22548.0,495,0,0.0,4950.0,False,-0.28415722622725714,0,0.2,43676,0,10,0.0,315.38419644776934,False,0.008552116750814229,0,0.542,46172,277,23,1.0,5518.937511049498,False,0.12584484734997817,0,1.7480000000000004,56382,2,89,1.0,2822.0768392895534,False,-0.053442111837578986,0,1.8740000000000003,57672,0,44,0.7,1363.9999999999998,False,-0.04425445492662474,0.6166666666666667,264777,0.0,0.0,12,0,0,15,0,0.0,10,25,27,135.0,102.0,10,14,27,275,1.5130820579943247,72.99431886011735
51,27,0,0,0,10.000000000000002,20,10.0,16.309661309284802,23,11.0,31.80010731501801,16,34.0,30.999999999999996,0,,0,0.2,38207,24,163,1.0,2898.474793413423,False,0.1344615344063025,23,4.336000000000001,22238.0,503,0,0.0,5030.000000000001,False,-0.29188122210779266,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,46463,290,17,1.0,5270.403604047899,False,0.12968114219373128,0,1.7480000000000004,56382,0,91,0.2,2820.9999999999995,False,-0.05345093029350105,0,1.8740000000000003,57128,6,54,1.0,1864.800643890108,False,-0.049063149863321324,0.5333333333333333,264094,0.0,0.0,9,0,0,15,1,1.0,14,29,23,157.0,100.0,13,14,23,744,1.5102099019568413,74.50452876207419
52,23,0,0,0,10.000000000000002,20,10.0,16.733273523622838,17,20.0,31.80010731501801,0,,30.999999999999996,0,,0,0.2,38383,25,162,1.0,2960.7903108268997,False,0.14038777764656846,6,4.373000000000001,22076.0,512,0,0.0,5120.000000000001,False,-0.29522828698935805,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,46123,297,27,1.0,5828.385134021469,False,0.12827740479063865,0,1.7480000000000004,56382,0,91,0.0,2820.9999999999995,False,-0.05345093029350105,0,1.874,57128,0,60,0.6,1859.9999999999998,False,-0.04910246331236897,0.43333333333333335,263768,0.0,0.0,9,0,0,19,1,1.0,11,30,16,158.0,42.0,14,9,16,486,1.6086081209941767,76.11313688306836
53,16,0,0,0,10.000000000000002,20,10.0,17.116879999317494,16,20.3125,31.80010731501801,0,,30.999999999999996,0,,0,0.2,38575,27,160,1.0,3008.700799890799,False,0.1465656940137715,4,4.407,21923.0,520,0,0.0,5200.000000000001,False,-0.2984609223023229,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,45798,303,37,1.0,6363.018610448868,False,0.12695019339249078,0,1.7480000000000004,56382,0,91,0.0,2820.9999999999995,False,-0.05345093029350105,0,1.8740000000000003,57128,0,60,0.0,1859.9999999999998,False,-0.04910246331236897,0.3333333333333333,263482,0.0,0.0,8,0,0,14,3,3.0,9,23,20,54.0,39.0,8,8,20,512,1.3714425949729048,77.48457947804127
54,20,0,0,0,10.000000000000002,20,10.0,15.83112922910382,37,11.162162162162161,31.80010731501801,0,,30.999999999999996,0,,0,0.2,38810,26,157,1.0,2745.4872889692997,False,0.14952350510598048,24,4.643000000000001,21293.0,531,0,0.0,5310.000000000001,False,-0.3149101727886486,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,45385,330,47,1.0,6718.8776894101065,False,0.12154154996790419,0,1.7480000000000004,56382,0,91,0.0,2820.9999999999995,False,-0.05345093029350105,0,1.8740000000000003,57128,0,60,0.0,1859.9999999999998,False,-0.04910246331236897,0.3333333333333333,262674,0.0,0.0,8,0,0,12,2,2.0,11,23,24,81.0,69.0,7,13,24,525,1.3474632279830985,78.83204270602437
55,24,0,0,0,10.000000000000002,20,10.0,16.5081397137345,11,26.0,31.80010731501801,0,,30.999999999999996,13,31.0,0,0.2,38996,26,156,1.0,2835.2697953425823,False,0.15612870172992593,0,4.6190000000000015,21193.0,541,0,0.0,5410.000000000001,False,-0.31634054239615517,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,45099,331,57,1.0,7276.800362202146,False,0.1213796001357755,0,1.7480000000000004,56785,0,78,0.0,2417.9999999999995,False,-0.05015068134171908,0,1.8740000000000003,57128,0,60,0.0,1859.9999999999998,False,-0.04910246331236897,0.3333333333333333,262877,0.0,0.0,13,0,0,16,0,0.0,12,28,23,131.0,48.0,13,11,23,889,1.3230789680383168,80.15512167406268
56,23,0,0,0,10.000000000000002,20,10.0,17.238844408044606,14,25.0,31.80010731501801,0,,30.999999999999996,0,,0,0.2,39236,27,152,1.0,2890.30435002278,False,0.16378167338972965,0,4.619000000000001,21103.0,550,0,0.0,5500.000000000001,False,-0.31762787504291107,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,44749,335,67,1.0,7905.62006680115,False,0.12056072047767181,0,1.7480000000000004,56785,0,78,0.0,2417.9999999999995,False,-0.05015068134171908,0,1.874,57128,0,60,0.0,1859.9999999999998,False,-0.04910246331236897,0.3333333333333333,262677,0.0,0.0,11,0,0,14,0,0.0,13,27,26,105.0,48.0,10,13,26,550,1.3386441359762102,81.4937658100389
57,26,0,0,0,10.000000000000002,20,10.0,17.66877966922364,21,20.666666666666668,31.80010731501801,0,,30.999999999999996,20,31.0,0,0.2,39484,30,147,1.0,2897.310611375875,False,0.17097652207597935,6,4.679000000000001,20957.0,557,0,0.0,5570.000000000001,False,-0.3208032955715757,0,0.2,43676,0,10,0.0,318.0010731501801,False,0.008582222092289616,0,0.542,44315,346,77,1.0,8562.006028807766,False,0.11812624854824635,0,1.7480000000000004,57002,0,71,0.0,2200.9999999999995,False,-0.04837362421383648,0,1.8740000000000003,57531,0,47,0.0,1456.9999999999998,False,-0.045802214360587006,0.3333333333333333,262965,0.0,0.0,18,0,0,14,2,2.0,11,25,26,107.0,75.0,11,15,26,1198,1.3889629589975812,82.88272876903648
58,26,0,0,0,10.000000000000002,20,10.0,16.202705040546412,44,11.18181818181818,29.834439302114898,83,26.626506024096386,30.999999999999996,18,31.0,0,0.2,39704,28,145,1.0,2629.39223087923,False,0.17343792526146046,32,4.993000000000002,20357.0,569,0,0.0,5690.000000000001,False,-0.33625128733264675,0,0.2,43676,0,10,0.0,298.34439302114896,False,0.008356085695793459,6,0.6020000000000001,45877,380,10,1.0,6455.372308428786,False,0.12983033809337804,0,1.7480000000000004,57281,0,62,0.0,1921.9999999999998,False,-0.04608883647798742,0,1.8740000000000003,55600,73,48,1.0,3665.9140690543873,False,-0.05933967121122915,0.5,262495,0.0,0.0,19,0,0,12,2,1.1176470588235294,17,29,24,143.0,84.0,13,13,24,2146,1.3092545149847865,84.19198328402126
59,24,0,0,0,10.000000000000002,20,10.0,13.165175544835998,68,5.338235294117647,29.834439302114898,0,,30.999999999999993,20,31.0,0,0.2,39584,30,155,1.0,2340.6022094495797,False,0.16587427350740339,68,5.641,17941.0,577,0,0.0,5770.000000000001,False,-0.4042224510813594,0,0.2,43676,0,10,0.0,298.34439302114896,False,0.008356085695793459,0,0.5960000000000001,45514,438,20,1.0,6363.035674680465,False,0.12041594582256294,0,1.7480000000000004,57622,0,51,0.0,1580.9999999999995,False,-0.04329631813417191,0,1.8740000000000003,55879,63,49,1.0,3398.5696760332385,False,-0.05695943333961252,0.5,260216,0.0,0.0,16,0,0,7,6,6.0,17,24,29,126.0,93.0,8,16,29,820,1.3706739849876612,85.56265726900892
60,29,0,0,0,10.000000000000002,20,10.0,13.415501057385283,39,14.820512820512821,29.834439302114898,0,,30.999999999999996,20,31.0,0,0.2,39829,28,152,1.0,2319.156160722563,False,0.1725763268211832,26,5.833000000000002,17368.0,589,0,0.0,5890.000000000001,False,-0.4188980432543769,0,0.2,43676,0,10,0.0,298.34439302114896,False,0.008356085695793459,0,0.5960000000000001,44936,467,30,1.0,7160.072172862375,False,0.11628632107199825,0,1.7480000000000004,57963,0,40,0.0,1239.9999999999998,False,-0.04050379979035639,0,1.874,56158,53,50,1.0,3131.2252830120897,False,-0.054579195467995896,0.5,259930,0.0,0.0,17,0,0,8,3,3.0,18,26,24,147.0,98.0,11,18,24,1145,1.5626415809965692,87.12529885000549
61,24,0,0,0,10.000000000000002,20,10.0,13.93967113823327,11,25.0,29.834439302114898,0,,30.999999999999996,13,31.0,0,0.2,39994,29,151,1.0,2394.890341873224,False,0.17837982523562798,0,5.807000000000003,17278.0,598,0,0.0,5980.000000000001,False,-0.42018537590113286,0,0.2,43676,0,10,0.0,298.34439302114896,False,0.008356085695793459,0,0.5960000000000001,44661,468,40,1.0,7717.143664777766,False,0.11636767365489133,0,1.7480000000000004,58180,0,33,0.0,1022.9999999999999,False,-0.03872674266247379,0,1.8740000000000003,56344,43,54,1.0,2956.8808899909404,False,-0.052960553508328956,0.5,260133,0.0,0.0,15,0,0,10,0,0.0,16,26,19,105.0,72.0,10,14,19,878,1.2792142829857767,88.40451313299127
62,19,0,0,0,10.000000000000002,20,10.0,13.903985133383054,2,10.0,29.392136637839066,5,12.0,31.0,20,31.0,0,0.2,39894,29,161,1.0,2528.541606474672,False,0.1774307930895221,2,5.827000000000003,17156.0,608,0,0.0,6080.000000000001,False,-0.42224510813594235,0,0.2,43676,0,10,0.0,293.92136637839064,False,0.008305201858846676,0,0.5960000000000001,44701,460,45,1.0,7718.479310058963,False,0.11730338353111867,0,1.7480000000000004,58428,0,25,0.0,775.0,False,-0.03669582023060797,0,1.8740000000000003,56656,38,52,1.0,2728.9011922378845,False,-0.049717462720798244,0.5,260511,0.0,0.0,16,0,0,6,1,1.0,18,24,23,90.0,101.0,8,11,23,880,1.1578036660212092,89.56231679901248
63,23,0,0,0,10.0,20,10.0,14.33803691105834,17,19.41176470588235,28.570236960356258,9,12.0,30.999999999999996,20,31.0,0,0.2,40074,31,159,1.0,2589.747868858276,False,0.18345559945157167,5,5.875000000000001,17001.0,616,0,0.0,6160.0,False,-0.42553495823320747,0,0.2,43676,0,10,0.0,285.7023696035626,False,0.008210648032805223,0,0.5960000000000001,44479,467,46,1.0,8010.094137640633,False,0.11555029839446673,0,1.7480000000000004,58568,0,26,0.9,805.9999999999999,False,-0.034148977987421385,0,1.8740000000000003,57028,28,50,1.0,2349.966634889975,False,-0.04672786757329356,0.65,260826,0.0,0.0,18,0,0,8,1,1.0,19,27,26,132.0,105.0,11,12,26,1228,1.3674796390114352,90.92979643802391
64,26,0,0,0,10.0,20,10.0,14.263672351019224,32,13.812500000000002,28.879711239858057,17,32.0,31.0,10,31.0,0,0.2,40290,28,158,1.0,2533.6602314610373,False,0.18883253563710142,21,6.080000000000001,16468.0,629,0,0.0,6290.0,False,-0.438923217759469,0,0.2,43676,0,10,0.0,288.79711239858057,False,0.008246250890416654,0,0.5960000000000001,44581,489,39,1.0,8101.244518002865,False,0.1189457976853672,0,1.7480000000000004,58878,0,16,0.0,496.0,False,-0.0316103249475891,0,1.874,56484,35,60,1.0,2870.789893395032,False,-0.051372593247223576,0.5,260377,0.0,0.0,12,0,0,9,4,4.0,18,27,31,147.0,162.0,10,16,31,1340,1.3976634130231105,92.32745985104702
65,31,0,0,0,10.0,20,10.0,14.76647279165467,10,25.0,28.903868236130844,1,33.0,31.000000000000004,17,31.0,0,0.2,40410,31,158,1.0,2643.1027010814378,False,0.19383085451827217,0,6.059000000000002,16398.0,636,0,0.0,6360.0,False,-0.43992447648472366,0,0.2,43676,0,10,0.0,289.0386823613084,False,0.008249029984369197,0,0.5960000000000001,44364,489,48,1.0,8608.190870453413,False,0.11978499459819399,1,1.7580000000000005,59368,0,0,0.0,0.0,False,-0.027646750524109014,0,1.8740000000000003,56451,26,70,1.0,2921.5005741394025,False,-0.051497800591756765,0.5,260667,0.0,0.0,15,0,0,12,1,0.3333333333333333,17,29,24,184.0,96.0,14,17,24,917,1.630263943981845,93.95772379502887
66,24,0,0,0,10.0,20,10.0,14.48087615731173,6,5.333333333333333,29.799191066220448,47,32.723404255319146,31.000000000000004,16,31.0,0,0.2,40240,38,168,1.0,2812.7871944283706,False,0.19139471327423574,6,6.119000000000001,16270.0,639,0,0.0,6390.0,False,-0.4431571117976885,0,0.2,43676,0,10,0.0,297.9919106622045,False,0.008352030632071822,0,0.5960000000000001,45870,485,11,1.0,7351.016038024614,False,0.1399730343521307,5,1.8070000000000002,58848,5,10,1.0,458.9959553311023,False,-0.032404710795572056,0,1.8740000000000003,55734,48,69,1.0,3569.361171178582,False,-0.057935656027429096,0.6666666666666666,260638,0.0,0.0,15,0,0,17,4,4.0,15,32,28,165.0,81.0,16,8,28,2079,1.3488466650014743,95.30657046003034
67,28,0,0,0,10.000000000000002,20,10.0,14.822147739653474,33,16.666666666666668,30.14131828092797,16,34.0,31.000000000000004,10,31.0,0,0.2,40578,41,160,1.0,2781.543638344556,False,0.2006171134904532,15,6.263000000000002,15909.0,646,0,0.0,6460.000000000001,False,-0.4524831216386314,0,0.2,43676,0,10,0.0,301.4131828092797,False,0.008391389982160042,5,0.6460000000000001,45734,508,10,1.0,7831.064234553244,False,0.14236648376228936,0,1.8020000000000005,59158,0,5,0.5,155.00000000000003,False,-0.029816889412997902,0,1.8740000000000003,55190,54,79,1.0,4076.631187170111,False,-0.06269137196041254,0.5833333333333334,260245,0.0,0.0,14,0,0,4,4,3.3125,20,24,34,112.0,132.0,9,19,34,978,1.5027285480173305,96.80929900804767
